Model,Reaction_ID,Reaction_Name,Reaction_Equation,Subsystem,Genes,Gene_Rules,Reversible,FBA_Flux,pFBA_Flux,Flux_Change,Abs_Flux_Change,Percent_Change,Is_Cycling_Candidate
NSD,MAR04089,"","malate [Cytosol][c] + NADP+ [Cytosol][c] => CO2 [Cytosol][c] + NADPH [Cytosol][c] + pyruvate [Cytosol][c]","Pyruvate metabolism",Men,Men,0,163.444453103123,318.528256800181,-155.083803697059,155.083803697059,-94.8847151143216,0
NSD,MAR04091,"","malate [Mitochondria][m] + NADP+ [Mitochondria][m] => CO2 [Mitochondria][m] + NADPH [Mitochondria][m] + pyruvate [Mitochondria][m]","Pyruvate metabolism",Men; Men-b,Men or Men-b,0,0,0,0,0,0,0
NSD,MAR08497,"","H+ [Cytosol][c] + methylglyoxal [Cytosol][c] + NADPH [Cytosol][c] => hydroxyacetone [Cytosol][c] + NADP+ [Cytosol][c]","Pyruvate metabolism",CG2767,CG2767,0,0,0,0,0,0,0
NSD,MAR08500,"","H+ [Cytosol][c] + hydroxyacetone [Cytosol][c] + NADPH [Cytosol][c] => NADP+ [Cytosol][c] + propane-1,2-diol [Cytosol][c]","Pyruvate metabolism",CG2767,CG2767,0,0,0,0,0,0,0
NSD,MAR08503,"","H2O [Cytosol][c] + lactaldehyde [Cytosol][c] + NAD+ [Cytosol][c] => 2 H+ [Cytosol][c] + L-lactate [Cytosol][c] + NADH [Cytosol][c]","Pyruvate metabolism",Aldh-III,Aldh-III,0,0,0,0,0,0,0
NSD,MAR08504,"","D-lactaldehyde [Cytosol][c] + H2O [Cytosol][c] + NAD+ [Cytosol][c] => D-lactate [Cytosol][c] + 2 H+ [Cytosol][c] + NADH [Cytosol][c]","Pyruvate metabolism",Aldh; Aldh-III,Aldh or Aldh-III,0,0,0,0,0,0,0
NSD,MAR08506,"","H2O [Mitochondria][m] + lactaldehyde [Mitochondria][m] + NAD+ [Mitochondria][m] => 2 H+ [Mitochondria][m] + L-lactate [Mitochondria][m] + NADH [Mitochondria][m]","Pyruvate metabolism",Aldh; Aldh-III,Aldh or Aldh-III,0,0,0,0,0,0,0
NSD,MAR08507,"","NAD+ [Cytosol][c] + propane-1,2-diol [Cytosol][c] => D-lactaldehyde [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c]","Pyruvate metabolism",Fdh,Fdh,0,341.812780121636,0,341.812780121636,341.812780121636,100,1
NSD,MAR08509,"","D-lactaldehyde [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => NADP+ [Cytosol][c] + propane-1,2-diol [Cytosol][c]","Pyruvate metabolism",CG2767,CG2767,0,341.812780121636,0,341.812780121636,341.812780121636,100,1
NSD,MAR04280,"","H+ [Mitochondria][m] + NADH [Mitochondria][m] + pyruvate [Mitochondria][m] <=> L-lactate [Mitochondria][m] + NAD+ [Mitochondria][m]","Pyruvate metabolism",TSG101,TSG101,1,614.021168611722,549.772397766636,64.2487708450865,64.2487708450865,10.4636084437203,0
NSD,MAR04282,"","3-oxopropanoate [Mitochondria][m] + CoA [Mitochondria][m] + NAD+ [Mitochondria][m] => acetyl-CoA [Mitochondria][m] + CO2 [Mitochondria][m] + NADH [Mitochondria][m]","Propanoate metabolism",CG17896,CG17896,0,0.698599800950934,0.697901201149983,0.000698599800950994,0.000698599800950994,0.100000000000009,0
NSD,MAR09804,"","3-hydroxypropionyl-CoA [Mitochondria][m] + NADP+ [Mitochondria][m] <=> H+ [Mitochondria][m] + NADPH [Mitochondria][m] + 3-oxopropionyl-CoA [Mitochondria][m]","Propanoate metabolism",CG2064; CG8888; CtBP; sro,CG2064 or CG8888 or CtBP or sro,1,0,0,0,0,0,0
NSD,MAR04461,"","(R)-3-hydroxybutanoate [Mitochondria][m] + NAD+ [Mitochondria][m] <=> acetoacetate [Mitochondria][m] + H+ [Mitochondria][m] + NADH [Mitochondria][m]","Butanoate metabolism",CG8888,CG8888,1,0,0,0,0,0,0
NSD,MAR05351,"","2-hydroxybutyrate [Cytosol][c] + NAD+ [Cytosol][c] <=> 2-oxobutyrate [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c]","Butanoate metabolism",TSG101,TSG101,1,-101.164333001585,-49.4700606781883,-51.6942723233965,51.6942723233965,-51.0993062372948,1
NSD,MAR04841,"","H+ [Cytosol][c] + NADH [Cytosol][c] + ribose [Cytosol][c] <=> NAD+ [Cytosol][c] + ribitol [Cytosol][c]","Pentose phosphate pathway",Aldh-III,Aldh-III,1,0,0,0,0,0,0
NSD,MAR04040,"","H2O [Cytosol][c] + IMP [Cytosol][c] + NAD+ [Cytosol][c] => H+ [Cytosol][c] + NADH [Cytosol][c] + xanthosine-5-phosphate [Cytosol][c]","Purine metabolism",ras,ras,0,0.861606421172819,0.860744814751646,0.000861606421172834,0.000861606421172834,0.100000000000002,0
NSD,MAR03931,"","H+ [Cytosol][c] + NADPH [Cytosol][c] + oxidized thioredoxin [Cytosol][c] => NADP+ [Cytosol][c] + thioredoxin [Cytosol][c]","Pyrimidine metabolism",Trxr-1; Trxr-2,Trxr-1 or Trxr-2,0,1.16433300158489,1.16316866858331,0.00116433300158492,0.00116433300158492,0.100000000000002,0
NSD,MAR03802,"","AKG [Mitochondria][m] + 2 H+ [Mitochondria][m] + NADH [Mitochondria][m] + NH3 [Mitochondria][m] <=> glutamate [Mitochondria][m] + H2O [Mitochondria][m] + NAD+ [Mitochondria][m]","Alanine, aspartate and glutamate metabolism",Gdh,Gdh,1,0,-0,0,0,0,0
NSD,MAR03804,"","AKG [Mitochondria][m] + 2 H+ [Mitochondria][m] + NADPH [Mitochondria][m] + NH3 [Mitochondria][m] <=> glutamate [Mitochondria][m] + H2O [Mitochondria][m] + NADP+ [Mitochondria][m]","Alanine, aspartate and glutamate metabolism",Gdh,Gdh,1,0,-0,0,0,0,0
NSD,MAR03822,"","1-pyrroline-5-carboxylate [Mitochondria][m] + 2 H2O [Mitochondria][m] + NAD+ [Mitochondria][m] => glutamate [Mitochondria][m] + H+ [Mitochondria][m] + NADH [Mitochondria][m]","Alanine, aspartate and glutamate metabolism",P5CDh1,P5CDh1,0,0,0,0,0,0,0
NSD,MAR03806,"","glutamate [Mitochondria][m] + 2 H+ [Mitochondria][m] + NADH [Mitochondria][m] <=> H2O [Mitochondria][m] + L-glutamate 5-semialdehyde [Mitochondria][m] + NAD+ [Mitochondria][m]","Arginine and proline metabolism",P5CDh1,P5CDh1,1,0,0,0,0,0,0
NSD,MAR04784,"","2 H2O [Mitochondria][m] + L-1-pyrroline-3-hydroxy-5-carboxylate [Mitochondria][m] + NAD+ [Mitochondria][m] => H+ [Mitochondria][m] + L-erythro-4-hydroxyglutamate [Mitochondria][m] + NADH [Mitochondria][m]","Arginine and proline metabolism",P5CDh1,P5CDh1,0,0,0,0,0,0,0
NSD,MAR04785,"","2 H2O [Mitochondria][m] + L-1-pyrroline-3-hydroxy-5-carboxylate [Mitochondria][m] + NADP+ [Mitochondria][m] => H+ [Mitochondria][m] + L-erythro-4-hydroxyglutamate [Mitochondria][m] + NADPH [Mitochondria][m]","Arginine and proline metabolism",P5CDh1,P5CDh1,0,0,0,0,0,0,0
NSD,MAR08097,"","2 H+ [Mitochondria][m] + L-erythro-4-hydroxyglutamate [Mitochondria][m] + NADH [Mitochondria][m] <=> H2O [Mitochondria][m] + L-4-hydroxyglutamate semialdehyde [Mitochondria][m] + NAD+ [Mitochondria][m]","Arginine and proline metabolism",P5CDh1,P5CDh1,1,0,0,0,0,0,0
NSD,MAR03839,"","3-phospho-D-glycerate [Cytosol][c] + NAD+ [Cytosol][c] <=> 3-phosphonooxypyruvate [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c]","Glycine, serine and threonine metabolism",CG6287,CG6287,1,0,0,0,0,0,0
NSD,MAR06409,"","H+ [Mitochondria][m] + lipoamide [Mitochondria][m] + NADH [Mitochondria][m] <=> dihydrolipoamide [Mitochondria][m] + NAD+ [Mitochondria][m]","Glycine, serine and threonine metabolism",CG3999; CG6415; CG7430; ppl,CG3999 and CG6415 and CG7430 and ppl,1,-347.962836937379,0,-347.962836937379,347.962836937379,-100,1
NSD,MAR04239,"","2-oxoadipate [Mitochondria][m] + CoA [Mitochondria][m] + NAD+ [Mitochondria][m] => CO2 [Mitochondria][m] + glutaryl-CoA [Mitochondria][m] + NADH [Mitochondria][m]","Lysine metabolism",CG5214; CG7430; Ogdh,CG5214 and CG7430 and Ogdh,0,0,0,0,0,0,0
NSD,MAR08563,"","H2O [Mitochondria][m] + indole-3-acetaldehyde [Mitochondria][m] + NAD+ [Mitochondria][m] => 2 H+ [Mitochondria][m] + indoleacetate [Mitochondria][m] + NADH [Mitochondria][m]","Tryptophan metabolism",Aldh,Aldh,0,0,0,0,0,0,0
NSD,MAR04683,"","H2O [Cytosol][c] + NAD+ [Cytosol][c] + phenylacetaldehyde [Cytosol][c] => 2 H+ [Cytosol][c] + NADH [Cytosol][c] + phenylacetate [Cytosol][c]","Tyrosine metabolism",Aldh-III,Aldh-III,0,0,0,0,0,0,0
NSD,MAR04685,"","H2O [Mitochondria][m] + NAD+ [Mitochondria][m] + phenylacetaldehyde [Mitochondria][m] => 2 H+ [Mitochondria][m] + NADH [Mitochondria][m] + phenylacetate [Mitochondria][m]","Tyrosine metabolism",Aldh-III,Aldh-III,0,0,0,0,0,0,0
NSD,MAR04686,"","2 H+ [Cytosol][c] + NADPH [Cytosol][c] + phenylacetate [Cytosol][c] <=> H2O [Cytosol][c] + NADP+ [Cytosol][c] + phenylacetaldehyde [Cytosol][c]","Tyrosine metabolism",Aldh-III,Aldh-III,1,0,0,0,0,0,0
NSD,MAR04687,"","2 H+ [Mitochondria][m] + NADPH [Mitochondria][m] + phenylacetate [Mitochondria][m] <=> H2O [Mitochondria][m] + NADP+ [Mitochondria][m] + phenylacetaldehyde [Mitochondria][m]","Tyrosine metabolism",Aldh-III,Aldh-III,1,0,0,0,0,0,0
NSD,MAR03795,"","2-methyl-3-oxopropanoate [Mitochondria][m] + CoA [Mitochondria][m] + NAD+ [Mitochondria][m] => CO2 [Mitochondria][m] + NADH [Mitochondria][m] + propanoyl-CoA [Mitochondria][m]","Valine, leucine, and isoleucine metabolism",CG17896,CG17896,0,0,0,0,0,0,0
NSD,MAR04797,"","2-methyl-3-oxopropanoate [Cytosol][c] + H2O [Cytosol][c] + NAD+ [Cytosol][c] => 2 H+ [Cytosol][c] + methylmalonate [Cytosol][c] + NADH [Cytosol][c]","Valine, leucine, and isoleucine metabolism",Aldh; Aldh-III,Aldh or Aldh-III,0,0,0,0,0,0,0
NSD,MAR06714,"","H2O [Cytosol][c] + indole-3-acetaldehyde [Cytosol][c] + NAD+ [Cytosol][c] => 2 H+ [Cytosol][c] + indoleacetate [Cytosol][c] + NADH [Cytosol][c]","Phenylalanine, tyrosine and tryptophan biosynthesis",Aldh; Aldh-III,Aldh or Aldh-III,0,0,0,0,0,0,0
NSD,MAR06760,"","3,4-dihydroxyphenylacetaldehyde [Cytosol][c] + H2O [Cytosol][c] + NAD+ [Cytosol][c] => 3,4-dihydroxyphenylacetate [Cytosol][c] + 2 H+ [Cytosol][c] + NADH [Cytosol][c]","Phenylalanine, tyrosine and tryptophan biosynthesis",Aldh-III,Aldh-III,0,0,0,0,0,0,0
NSD,MAR06761,"","3,4-dihydroxyphenylacetaldehyde [Cytosol][c] + H2O [Cytosol][c] + NADP+ [Cytosol][c] => 3,4-dihydroxyphenylacetate [Cytosol][c] + 2 H+ [Cytosol][c] + NADPH [Cytosol][c]","Phenylalanine, tyrosine and tryptophan biosynthesis",Aldh-III,Aldh-III,0,0,0,0,0,0,0
NSD,MAR06782,"","4-hydroxyphenylpyruvate [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c] => 4-hydroxyphenyllactate [Cytosol][c] + NAD+ [Cytosol][c]","Phenylalanine, tyrosine and tryptophan biosynthesis",,,0,0,0,0,0,0,0
NSD,MAR06785,"","4-coumaroyl-CoA [Cytosol][c] + CoA [Cytosol][c] + H2O [Cytosol][c] + NAD+ [Cytosol][c] => 4-hydroxybenzoyl-CoA [Cytosol][c] + acetyl-CoA [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c]","Phenylalanine, tyrosine and tryptophan biosynthesis",,,0,0,0,0,0,0,0
NSD,MAR06519,"","3-mercaptolactate [Cytosol][c] + NAD+ [Cytosol][c] <=> H+ [Cytosol][c] + mercaptopyruvate [Cytosol][c] + NADH [Cytosol][c]","Cysteine and methionine metabolism",TSG101,TSG101,1,0,0,0,0,0,0
NSD,MAR08068,"","(S)-3-sulfolactate [Cytosol][c] + NAD+ [Cytosol][c] <=> 3-sulfopyruvate [Cytosol][c] + H+ [Cytosol][c] + NADH [Cytosol][c]","Cysteine and methionine metabolism",Mdh1,Mdh1,1,0,0,0,0,0,0
NSD,MAR08069,"","(S)-3-sulfolactate [Mitochondria][m] + NAD+ [Mitochondria][m] <=> 3-sulfopyruvate [Mitochondria][m] + H+ [Mitochondria][m] + NADH [Mitochondria][m]","Cysteine and methionine metabolism",Mdh2,Mdh2,1,0,0,0,0,0,0
NSD,MAR04079,"","3-amino-propanal [Cytosol][c] + H2O [Cytosol][c] + NADP+ [Cytosol][c] => beta-alanine [Cytosol][c] + 2 H+ [Cytosol][c] + NADPH [Cytosol][c]","Beta-alanine metabolism",Aldh; Aldh-III,Aldh or Aldh-III,0,0,0,0,0,0,0
NSD,MAR07993,"","3-amino-propanal [Cytosol][c] + H2O [Cytosol][c] + NAD+ [Cytosol][c] => beta-alanine [Cytosol][c] + 2 H+ [Cytosol][c] + NADH [Cytosol][c]","Beta-alanine metabolism",Aldh; Aldh-III,Aldh or Aldh-III,0,0,0,0,0,0,0
NSD,MAR03759,"","2-methyl-3-oxopropanoate [Mitochondria][m] + H2O [Mitochondria][m] + NAD+ [Mitochondria][m] => 2 H+ [Mitochondria][m] + methylmalonate [Mitochondria][m] + NADH [Mitochondria][m]","Valine, leucine, and isoleucine metabolism",Aldh; Aldh-III; ry,Aldh or Aldh-III or ry,0,0,0,0,0,0,0
NSD,MAR03823,"","(S)-3-hydroxy-2-methylbutyryl-CoA [Mitochondria][m] + NAD+ [Mitochondria][m] <=> 2-methylacetoacetyl-CoA [Mitochondria][m] + H+ [Mitochondria][m] + NADH [Mitochondria][m]","Valine, leucine, and isoleucine metabolism",scu,scu,1,0,0,0,0,0,0
NSD,MAR00710,"","isocitrate [Cytosol][c] + NADP+ [Cytosol][c] => AKG [Cytosol][c] + CO2 [Cytosol][c] + NADPH [Cytosol][c]","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",Idh,Idh,0,-1000,-508.853403588208,-491.146596411792,491.146596411792,-49.1146596411792,0
NSD,MAR03957,"","isocitrate [Mitochondria][m] + NAD+ [Mitochondria][m] => AKG [Mitochondria][m] + CO2 [Mitochondria][m] + NADH [Mitochondria][m]","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",Idh3a; Idh3b; Idh3g,Idh3a or Idh3b or Idh3g,0,0,0,0,0,0,0
NSD,MAR03958,"","isocitrate [Mitochondria][m] + NADP+ [Mitochondria][m] => AKG [Mitochondria][m] + CO2 [Mitochondria][m] + NADPH [Mitochondria][m]","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",Idh,Idh,0,-998.835666998415,1.16316866858331,-999.998835666999,999.998835666999,-100.116452456296,1
NSD,MAR04139,"","H+ [Cytosol][c] + NADH [Cytosol][c] + OAA [Cytosol][c] <=> malate [Cytosol][c] + NAD+ [Cytosol][c]","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",Mdh1,Mdh1,1,-174.039386819992,-17.4475300287496,-156.591856791242,156.591856791242,-89.9749531714936,1
NSD,MAR04141,"","H+ [Mitochondria][m] + NADH [Mitochondria][m] + OAA [Mitochondria][m] <=> malate [Mitochondria][m] + NAD+ [Mitochondria][m]","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",Mdh2,Mdh2,1,-1.16433300158485,-1.16316866858331,-0.00116433300154495,0.00116433300154495,-0.0999999999965729,0
NSD,MAR04585,"","H+ [Cytosol][c] + NADPH [Cytosol][c] + oxalosuccinate [Cytosol][c] <=> isocitrate [Cytosol][c] + NADP+ [Cytosol][c]","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",Idh,Idh,1,-186.413410635067,0,-186.413410635067,186.413410635067,-100,1
NSD,MAR04586,"","H+ [Mitochondria][m] + NADPH [Mitochondria][m] + oxalosuccinate [Mitochondria][m] <=> isocitrate [Mitochondria][m] + NADP+ [Mitochondria][m]","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",Idh,Idh,1,0,0,0,0,0,0
NSD,MAR04588,"","H+ [Mitochondria][m] + NADH [Mitochondria][m] + oxalosuccinate [Mitochondria][m] <=> isocitrate [Mitochondria][m] + NAD+ [Mitochondria][m]","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",Idh,Idh,1,-1000,0,-1000,1000,-100,1
NSD,MAR05297,"","AKG [Mitochondria][m] + CoA [Mitochondria][m] + NAD+ [Mitochondria][m] => CO2 [Mitochondria][m] + NADH [Mitochondria][m] + succinyl-CoA [Mitochondria][m]","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",CG5214; CG7430; Ogdh,CG5214 and CG7430 and Ogdh,0,0,346.444304846181,-346.444304846181,346.444304846181,0,0
NSD,MAR02153,"","acetoacetyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => (R)-3-hydroxybutanoyl-[ACP] [Cytosol][c] + NADP+ [Cytosol][c]","Fatty acid biosynthesis (even-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02155,"","but-2-enoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => butyryl-[ACP] [Cytosol][c] + NADP+ [Cytosol][c]","Fatty acid biosynthesis (even-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02157,"","3-oxohexanoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => D-3-hydroxyhexanoyl-[ACP] [Cytosol][c] + NADP+ [Cytosol][c]","Fatty acid biosynthesis (even-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02159,"","(2E)-hexenoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => hexanoyl-[ACP] [Cytosol][c] + NADP+ [Cytosol][c]","Fatty acid biosynthesis (even-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02161,"","3-oxooctanoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => (R)-3-hydroxyoctanoyl-[ACP] [Cytosol][c] + NADP+ [Cytosol][c]","Fatty acid biosynthesis (even-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02163,"","(2E)-octenoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => NADP+ [Cytosol][c] + octanoyl-[ACP] [Cytosol][c]","Fatty acid biosynthesis (even-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02165,"","3-oxodecanoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => (R)-3-hydroxydecanoyl-[ACP] [Cytosol][c] + NADP+ [Cytosol][c]","Fatty acid biosynthesis (even-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02167,"","(2E)-decenoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => decanoyl-[ACP] [Cytosol][c] + NADP+ [Cytosol][c]","Fatty acid biosynthesis (even-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02169,"","3-oxododecanoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => D-3-hydroxydodecanoyl-[ACP] [Cytosol][c] + NADP+ [Cytosol][c]","Fatty acid biosynthesis (even-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02171,"","(2E)-dodecenoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => dodecanoyl-[ACP] [Cytosol][c] + NADP+ [Cytosol][c]","Fatty acid biosynthesis (even-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02174,"","3-oxotetradecanoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => HMA [Cytosol][c] + NADP+ [Cytosol][c]","Fatty acid biosynthesis (even-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02176,"","(2E)-tetradecenoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => NADP+ [Cytosol][c] + tetradecanoyl-[ACP] [Cytosol][c]","Fatty acid biosynthesis (even-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02179,"","3-oxohexadecanoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => (R)-3-hydroxypalmitoyl-[ACP] [Cytosol][c] + NADP+ [Cytosol][c]","Fatty acid biosynthesis (even-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02181,"","(2E)-hexadecenoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => hexadecanoyl-[ACP] [Cytosol][c] + NADP+ [Cytosol][c]","Fatty acid biosynthesis (even-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02229,"","3-oxopentanoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => 3-hydroxypentanoyl-[ACP] [Cytosol][c] + NADP+ [Cytosol][c]","Fatty acid biosynthesis (odd-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02231,"","(2E)-pentenoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => NADP+ [Cytosol][c] + pentanoyl-[ACP] [Cytosol][c]","Fatty acid biosynthesis (odd-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02233,"","3-oxoheptanoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => 3-hydroxyheptanoyl-[ACP] [Cytosol][c] + NADP+ [Cytosol][c]","Fatty acid biosynthesis (odd-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02235,"","(2E)-heptenoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => heptanoyl-[ACP] [Cytosol][c] + NADP+ [Cytosol][c]","Fatty acid biosynthesis (odd-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02237,"","3-oxononanoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => 3-hydroxynonanoyl-[ACP] [Cytosol][c] + NADP+ [Cytosol][c]","Fatty acid biosynthesis (odd-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02239,"","(2E)-nonenoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => NADP+ [Cytosol][c] + nonanoyl-[ACP] [Cytosol][c]","Fatty acid biosynthesis (odd-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02241,"","3-oxoundecanoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => 3-hydroxyundecanoyl-[ACP] [Cytosol][c] + NADP+ [Cytosol][c]","Fatty acid biosynthesis (odd-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02243,"","(2E)-undecenoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => NADP+ [Cytosol][c] + undecanoyl-[ACP] [Cytosol][c]","Fatty acid biosynthesis (odd-chain)",FASN1,FASN1,0,0,0,0,0,0,0
NSD,MAR02245,"","3-oxotridecanoyl-[ACP] [Cytosol][c] + H+ [Cytosol][c] + NADPH [Cytosol][c] => 3-hydroxytridecanoyl-[ACP] [Cytosol][c] + NADP+ [Cytosol][c]","Fatty acid biosynthesis (odd-chain)",FASN1,FASN1,0,0,0,0,0,0,0
