Row,CNSSurfaceAssociatedGlialCell,adultFatBody,adultGlialCell,adultHindgut,adultOenocyte,adultPeripheralNervousSystem,adultReticularNeuropilAssociatedGlialCell,adultTrachealCell,adultVentralNervousSystem,cellBodyGlialCell,enteroendocrineCell,eoSupportCell,epithelialCell,escortCell,femaleReproductiveSystem,follicleCell,follicleCellSt_9_,germlineCell,gustatoryReceptorNeuron,hemocyte,indirectFlightMuscle,legMuscleMotorNeuron,legTasteBristleChemosensoryNeuron,maleAccessoryGland,multidendriticNeuron,muscleCell,perineurialGlialSheath,polarFollicleCell,prefollicleCell_stalkFollicleCell,scolopidialNeuron,spermatocyte,subperineurialGlialCell
"Biotin metabolism",-44.8275862068966,-44.8275862068966,-44.8275862068966,-44.8275862068966,-44.8275862068966,203.448275862069,-44.8275862068966,-44.8275862068966,203.448275862069,-44.8275862068966,-44.8275862068966,-44.8275862068966,-44.8275862068966,-44.8275862068966,-17.2413793103448,-17.2413793103448,-100,-17.2413793103448,-44.8275862068966,-44.8275862068966,-17.2413793103448,203.448275862069,203.448275862069,-44.8275862068966,203.448275862069,-44.8275862068966,-44.8275862068966,-44.8275862068966,-100,203.448275862069,-100,-44.8275862068966
"Blood group biosynthesis",-100,-100,-100,-100,-100,-100,-100,-100,700,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,700,-100,700,700,-100,-100,-100,-100,-100,-100,-100
"Butanoate metabolism",6.66666666666667,113.333333333333,60,60,60,-100,6.66666666666667,-46.6666666666667,-46.6666666666667,6.66666666666667,60,60,-46.6666666666667,6.66666666666667,60,113.333333333333,6.66666666666667,166.666666666667,-100,-46.6666666666667,-46.6666666666667,-100,-100,6.66666666666667,-100,60,60,-46.6666666666667,-46.6666666666667,-100,6.66666666666667,6.66666666666667
"Carnitine shuttle (endoplasmic reticular)",-32.046332046332,-19.6911196911197,-32.046332046332,-32.046332046332,338.610038610039,-87.6447876447876,-32.046332046332,-32.046332046332,-87.6447876447876,350.965250965251,-32.046332046332,-32.046332046332,-32.046332046332,-32.046332046332,-32.046332046332,-32.046332046332,-32.046332046332,-32.046332046332,-87.6447876447876,-32.046332046332,-32.046332046332,-87.6447876447876,-87.6447876447876,350.965250965251,-62.9343629343629,-19.6911196911197,-32.046332046332,307.722007722008,-87.6447876447876,-87.6447876447876,-87.6447876447876,-32.046332046332
"Carnitine shuttle (peroxisomal)",204.761904761905,357.142857142857,-100,-100,204.761904761905,-100,-100,-100,-100,-100,52.3809523809524,-100,-100,-100,-100,-100,-100,204.761904761905,-100,-100,-100,-100,-100,357.142857142857,52.3809523809524,-100,-100,357.142857142857,-100,-100,204.761904761905,204.761904761905
"Chondroitin sulfate degradation",8.36653386454183,65.7370517928287,78.4860557768924,-36.2549800796813,-29.8804780876494,-87.2509960159363,103.98406374502,-74.5019920318725,-49.003984063745,-87.2509960159363,14.7410358565737,65.7370517928287,27.4900398406374,91.2350597609562,8.36653386454183,72.1115537848606,40.2390438247012,-29.8804780876494,84.8605577689243,103.98406374502,-100,-49.003984063745,-87.2509960159363,1.99203187250996,52.9880478087649,-100,72.1115537848606,-80.8764940239044,8.36653386454183,84.8605577689243,-100,-74.5019920318725
"Fatty acid oxidation",18.708299973312,104.963971176942,14.438217240459,8.46010141446491,73.3653589538297,-50.4670402989058,-20.5764611689351,5.04403522818255,-49.6130237523352,-20.5764611689351,22.1243661595943,36.6426474512944,33.226581265012,-0.0800640512409928,36.6426474512944,9.3141179610355,-16.3063784360822,62.2631438484121,-44.4889244729117,17.0002668801708,-18.0144115292234,-44.4889244729117,-51.3210568454764,10.1681345076061,-51.3210568454764,-14.598345342941,14.438217240459,-45.3429410194823,-47.0509741126234,-45.3429410194823,-7.7662129703763,60.5551107552709
"Formation and hydrolysis of cholesterol esters",107.058823529412,148.470588235294,-49.1764705882353,107.058823529412,-86.8235294117647,-96.2352941176471,-32.2352941176471,107.058823529412,-96.2352941176471,80.7058823529412,107.058823529412,-32.2352941176471,-32.2352941176471,97.6470588235294,107.058823529412,146.588235294118,146.588235294118,-60.4705882352941,-98.1176470588235,80.7058823529412,-96.2352941176471,-96.2352941176471,-96.2352941176471,146.588235294118,-96.2352941176471,-98.1176470588235,-98.1176470588235,-94.3529411764706,-98.1176470588235,-32.2352941176471,-100,107.058823529412
"Glutathione metabolism",-81.7142857142857,82.8571428571429,-26.8571428571429,101.142857142857,119.428571428571,-81.7142857142857,-26.8571428571429,82.8571428571429,-63.4285714285714,-26.8571428571429,-26.8571428571429,46.2857142857143,9.71428571428571,-8.57142857142857,46.2857142857143,82.8571428571429,-26.8571428571429,119.428571428571,-63.4285714285714,-8.57142857142857,-81.7142857142857,28,-63.4285714285714,82.8571428571429,-81.7142857142857,-100,28,-8.57142857142857,-45.1428571428571,-63.4285714285714,9.71428571428571,46.2857142857143
"Glycosphingolipid biosynthesis-globo series",-100,137.037037037037,18.5185185185185,-100,18.5185185185185,18.5185185185185,18.5185185185185,-100,18.5185185185185,18.5185185185185,-100,18.5185185185185,-100,18.5185185185185,-100,137.037037037037,137.037037037037,18.5185185185185,18.5185185185185,18.5185185185185,18.5185185185185,18.5185185185185,18.5185185185185,18.5185185185185,137.037037037037,18.5185185185185,18.5185185185185,-100,-100,18.5185185185185,-100,18.5185185185185
"Glycosphingolipid biosynthesis-lacto and neolacto series",-100,-100,-100,-100,-100,-100,-100,-100,700,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,700,-100,700,700,-100,-100,-100,-100,-100,-100,-100
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",-100,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,113.333333333333,6.66666666666667,6.66666666666667,-100,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,-100,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666667
"Heme degradation",10.3448275862069,120.689655172414,10.3448275862069,10.3448275862069,10.3448275862069,10.3448275862069,10.3448275862069,120.689655172414,-100,231.034482758621,-100,10.3448275862069,120.689655172414,-100,120.689655172414,10.3448275862069,10.3448275862069,-100,10.3448275862069,-100,-100,-100,-100,120.689655172414,-100,-100,10.3448275862069,-100,10.3448275862069,-100,120.689655172414,120.689655172414
"Heparan sulfate degradation",-100,190.909090909091,93.9393939393939,-100,93.9393939393939,-100,93.9393939393939,93.9393939393939,-100,-100,190.909090909091,93.9393939393939,93.9393939393939,190.909090909091,190.909090909091,-100,-100,93.9393939393939,-100,93.9393939393939,-100,-100,-100,190.909090909091,-100,-100,93.9393939393939,-100,-100,-100,-100,-100
"Hormone biosynthesis",-100,12.280701754386,12.280701754386,12.280701754386,12.280701754386,12.280701754386,12.280701754386,12.280701754386,12.280701754386,12.280701754386,12.280701754386,124.561403508772,12.280701754386,12.280701754386,-100,12.280701754386,12.280701754386,-43.859649122807,12.280701754386,12.280701754386,-100,12.280701754386,12.280701754386,12.280701754386,12.280701754386,-100,12.280701754386,12.280701754386,12.280701754386,12.280701754386,12.280701754386,12.280701754386
"Keratan sulfate degradation",-100,15.3153153153153,130.630630630631,-100,-100,-100,-100,-100,-100,-100,245.945945945946,-100,-100,332.432432432432,-100,361.261261261261,361.261261261261,-100,-100,-100,-100,-100,-100,-100,-100,-100,274.774774774775,-100,332.432432432432,245.945945945946,-100,-100
"Metabolism of other amino acids",-100,1500,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1500,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"N-glycan metabolism",-27.2727272727273,118.181818181818,-100,-63.6363636363636,-100,-27.2727272727273,-27.2727272727273,-63.6363636363636,-27.2727272727273,-100,190.909090909091,-100,-100,118.181818181818,-27.2727272727273,154.545454545455,190.909090909091,-27.2727272727273,-27.2727272727273,190.909090909091,-100,-27.2727272727273,-27.2727272727273,-27.2727272727273,-27.2727272727273,-27.2727272727273,118.181818181818,-100,190.909090909091,-27.2727272727273,-27.2727272727273,-63.6363636363636
"Pentose and glucuronate interconversions",-56.1643835616438,250.684931506849,-12.3287671232877,119.178082191781,31.5068493150685,-100,-56.1643835616438,-56.1643835616438,-100,-12.3287671232877,-12.3287671232877,31.5068493150685,31.5068493150685,119.178082191781,75.3424657534247,75.3424657534247,-100,163.013698630137,-100,119.178082191781,-56.1643835616438,31.5068493150685,-100,31.5068493150685,-100,-12.3287671232877,-12.3287671232877,-100,-12.3287671232877,-100,75.3424657534247,-56.1643835616438
"Peptide metabolism",-100,-100,269.230769230769,-100,-100,23.0769230769231,-100,23.0769230769231,-100,146.153846153846,-100,23.0769230769231,23.0769230769231,-100,761.538461538462,-100,-100,-100,-100,-100,-100,-100,-100,23.0769230769231,-100,-100,-100,638.461538461538,146.153846153846,-100,-100,23.0769230769231
"Sulfur metabolism",-100,166.666666666667,166.666666666667,166.666666666667,-100,-100,166.666666666667,-100,-100,166.666666666667,-100,-100,-100,-100,166.666666666667,-100,-100,700,-100,-100,-100,-100,-100,-100,-100,-100,166.666666666667,-100,-100,-100,166.666666666667,166.666666666667
"Valine, leucine, and isoleucine metabolism",7.64525993883792,66.3608562691132,27.217125382263,46.7889908256881,56.5749235474006,-51.0703363914373,56.5749235474006,7.64525993883792,-31.4984709480122,-21.7125382262997,7.64525993883792,17.4311926605505,17.4311926605505,-21.7125382262997,27.217125382263,27.217125382263,-31.4984709480122,105.504587155963,-90.2140672782875,7.64525993883792,-21.7125382262997,-31.4984709480122,-51.0703363914373,46.7889908256881,-51.0703363914373,-21.7125382262997,17.4311926605505,-41.2844036697248,-60.8562691131498,-41.2844036697248,-41.2844036697248,66.3608562691132
"Vitamin B6 metabolism",265.714285714286,448.571428571429,-100,-8.57142857142857,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,265.714285714286,-100,-8.57142857142857,448.571428571429,-100,-8.57142857142857,-100,-100,-100,82.8571428571429,-100,-100,-100,-100,-100,-100,265.714285714286,448.571428571429
"Vitamin C metabolism",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1500,-100,-100,1500,-100,-100,-100,-100
"Xenobiotics metabolism",33.3333333333333,211.111111111111,-11.1111111111111,-55.5555555555556,-77.7777777777778,-77.7777777777778,-11.1111111111111,188.888888888889,-55.5555555555556,-11.1111111111111,100,-11.1111111111111,11.1111111111111,-11.1111111111111,-77.7777777777778,188.888888888889,166.666666666667,-77.7777777777778,-77.7777777777778,11.1111111111111,-77.7777777777778,-77.7777777777778,-77.7777777777778,-55.5555555555556,-100,-77.7777777777778,-77.7777777777778,166.666666666667,188.888888888889,-77.7777777777778,-77.7777777777778,-11.1111111111111
