"Reaction_ID","Subsystem","Reaction_Formula","Associated_Metabolites","Metabolite_IDs","Associated_Genes","Gene_Rules","FBA_Difference","pFBA_Difference","Sampling_Difference","FBA_Inc","pFBA_Inc","Sampling_Inc","FBA_Dec","pFBA_Dec","Sampling_Dec"
"MAR08506","Pyruvate metabolism",NA,"H+ [Mitochondria]; H2O [Mitochondria]; lactaldehyde [Mitochondria]; L-lactate [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]","MAM02039m[m]; MAM02040m[m]; MAM02329m[m]; MAM02403m[m]; MAM02552m[m]; MAM02553m[m]","Aldh; Aldh-III","Aldh or Aldh-III",0,0,0.171197169092551,0,0,1,0,0,0
"MAR08507","Pyruvate metabolism",NA,"D-lactaldehyde [Cytosol]; H+ [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; propane-1,2-diol [Cytosol]","MAM01715c[c]; MAM02039c[c]; MAM02552c[c]; MAM02553c[c]; MAM02771c[c]","Fdh","Fdh",-215.875907920311,0,23.9447135344595,0,0,1,1,0,0
"MAR04280","Pyruvate metabolism",NA,"H+ [Mitochondria]; L-lactate [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; pyruvate [Mitochondria]","MAM02039m[m]; MAM02403m[m]; MAM02552m[m]; MAM02553m[m]; MAM02819m[m]","TSG101","TSG101",298.407300962647,-131.709259647044,27.9533404374987,1,0,1,0,1,0
"MAR04282","Propanoate metabolism",NA,"3-oxopropanoate [Mitochondria]; acetyl-CoA [Mitochondria]; CO2 [Mitochondria]; CoA [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]","MAM00900m[m]; MAM01261m[m]; MAM01596m[m]; MAM01597m[m]; MAM02552m[m]; MAM02553m[m]","CG17896","CG17896",-0.278277022769432,-0.277998745746662,-3.85533099701714,0,0,0,1,1,1
"MAR04461","Butanoate metabolism",NA,"(R)-3-hydroxybutanoate [Mitochondria]; acetoacetate [Mitochondria]; H+ [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]","MAM00157m[m]; MAM01253m[m]; MAM02039m[m]; MAM02552m[m]; MAM02553m[m]","CG8888","CG8888",0,0,88.2763521048719,0,0,1,0,0,0
"MAR05351","Butanoate metabolism",NA,"2-hydroxybutyrate [Cytosol]; 2-oxobutyrate [Cytosol]; H+ [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM00648c[c]; MAM00671c[c]; MAM02039c[c]; MAM02552c[c]; MAM02553c[c]","TSG101","TSG101",-0.463795037949012,-48.7702232525161,-36.793545725764,0,0,0,1,1,1
"MAR04040","Purine metabolism",NA,"H+ [Cytosol]; H2O [Cytosol]; IMP [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; xanthosine-5-phosphate [Cytosol]","MAM02039c[c]; MAM02040c[c]; MAM02167c[c]; MAM02552c[c]; MAM02553c[c]; MAM03150c[c]","ras","ras",-0.343208328082299,-0.342865119754217,-0.410607981879221,0,0,0,1,1,1
"MAR03822","Alanine, aspartate and glutamate metabolism",NA,"1-pyrroline-5-carboxylate [Mitochondria]; glutamate [Mitochondria]; H+ [Mitochondria]; H2O [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]","MAM00559m[m]; MAM01974m[m]; MAM02039m[m]; MAM02040m[m]; MAM02552m[m]; MAM02553m[m]","P5CDh1","P5CDh1",0,0,11.4167237026972,0,0,1,0,0,0
"MAR03806","Arginine and proline metabolism",NA,"glutamate [Mitochondria]; H+ [Mitochondria]; H2O [Mitochondria]; L-glutamate 5-semialdehyde [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]","MAM01974m[m]; MAM02039m[m]; MAM02040m[m]; MAM02374m[m]; MAM02552m[m]; MAM02553m[m]","P5CDh1","P5CDh1",0,0,9.25587900554638,0,0,1,0,0,0
"MAR04784","Arginine and proline metabolism",NA,"H+ [Mitochondria]; H2O [Mitochondria]; L-1-pyrroline-3-hydroxy-5-carboxylate [Mitochondria]; L-erythro-4-hydroxyglutamate [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]","MAM02039m[m]; MAM02040m[m]; MAM02320m[m]; MAM02358m[m]; MAM02552m[m]; MAM02553m[m]","P5CDh1","P5CDh1",1000,0,-24.9685567112002,1,0,0,0,0,1
"MAR08097","Arginine and proline metabolism",NA,"H+ [Mitochondria]; H2O [Mitochondria]; L-4-hydroxyglutamate semialdehyde [Mitochondria]; L-erythro-4-hydroxyglutamate [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]","MAM02039m[m]; MAM02040m[m]; MAM02327m[m]; MAM02358m[m]; MAM02552m[m]; MAM02553m[m]","P5CDh1","P5CDh1",1000,0,-12.9141984942266,1,0,0,0,0,1
"MAR03839","Glycine, serine and threonine metabolism",NA,"3-phospho-D-glycerate [Cytosol]; 3-phosphonooxypyruvate [Cytosol]; H+ [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM00913c[c]; MAM00914c[c]; MAM02039c[c]; MAM02552c[c]; MAM02553c[c]","CG6287","CG6287",0,0,-0.0240018985224197,0,0,0,0,0,1
"MAR06409","Glycine, serine and threonine metabolism",NA,"dihydrolipoamide [Mitochondria]; H+ [Mitochondria]; lipoamide [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]","MAM01701m[m]; MAM02039m[m]; MAM02393m[m]; MAM02552m[m]; MAM02553m[m]","CG3999; CG6415; CG7430; ppl","CG3999 and CG6415 and CG7430 and ppl",68.6301493650781,0,-121.365539499599,1,0,0,0,0,1
"MAR04683","Tyrosine metabolism",NA,"H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; phenylacetaldehyde [Cytosol]; phenylacetate [Cytosol]","MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]; MAM02719c[c]; MAM02720c[c]","Aldh-III","Aldh-III",0,0,142.710622554668,0,0,1,0,0,0
"MAR04685","Tyrosine metabolism",NA,"H+ [Mitochondria]; H2O [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; phenylacetaldehyde [Mitochondria]; phenylacetate [Mitochondria]","MAM02039m[m]; MAM02040m[m]; MAM02552m[m]; MAM02553m[m]; MAM02719m[m]; MAM02720m[m]","Aldh-III","Aldh-III",0,0,-450.313452840991,0,0,0,0,0,1
"MAR03795","Valine, leucine, and isoleucine metabolism",NA,"2-methyl-3-oxopropanoate [Mitochondria]; CO2 [Mitochondria]; CoA [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; propanoyl-CoA [Mitochondria]","MAM00661m[m]; MAM01596m[m]; MAM01597m[m]; MAM02552m[m]; MAM02553m[m]; MAM02774m[m]","CG17896","CG17896",0,0,-3.29081438047043,0,0,0,0,0,1
"MAR06760","Phenylalanine, tyrosine and tryptophan biosynthesis",NA,"3,4-dihydroxyphenylacetaldehyde [Cytosol]; 3,4-dihydroxyphenylacetate [Cytosol]; H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM00728c[c]; MAM00729c[c]; MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]","Aldh-III","Aldh-III",0,0,-0.0123247639670947,0,0,0,0,0,1
"MAR06782","Phenylalanine, tyrosine and tryptophan biosynthesis",NA,"4-hydroxyphenyllactate [Cytosol]; 4-hydroxyphenylpyruvate [Cytosol]; H+ [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM01004c[c]; MAM01005c[c]; MAM02039c[c]; MAM02552c[c]; MAM02553c[c]","No genes associated","No rule available",50.7005379636358,50.6998374256722,44.3425869194235,1,1,1,0,0,0
"MAR06785","Phenylalanine, tyrosine and tryptophan biosynthesis",NA,"4-coumaroyl-CoA [Cytosol]; 4-hydroxybenzoyl-CoA [Cytosol]; acetyl-CoA [Cytosol]; CoA [Cytosol]; H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM00982c[c]; MAM00996c[c]; MAM01261c[c]; MAM01597c[c]; MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]","No genes associated","No rule available",0,0,-0.00525577754953482,0,0,0,0,0,1
"MAR03957","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",NA,"AKG [Mitochondria]; CO2 [Mitochondria]; isocitrate [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]","MAM01306m[m]; MAM01596m[m]; MAM02183m[m]; MAM02552m[m]; MAM02553m[m]","Idh3a; Idh3b; Idh3g","Idh3a or Idh3b or Idh3g",93.8763720983533,0,14.5844147420137,1,0,1,0,0,0
"MAR04139","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",NA,"H+ [Cytosol]; malate [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; OAA [Cytosol]","MAM02039c[c]; MAM02439c[c]; MAM02552c[c]; MAM02553c[c]; MAM02633c[c]","Mdh1","Mdh1",55.5013932493939,-6.94996864366655,73.9268263234228,1,0,1,0,1,0
"MAR04141","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",NA,"H+ [Mitochondria]; malate [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; OAA [Mitochondria]","MAM02039m[m]; MAM02439m[m]; MAM02552m[m]; MAM02553m[m]; MAM02633m[m]","Mdh2","Mdh2",92.7120390967684,3.02470826398848,24.1006628013954,1,1,1,0,0,0
"MAR04588","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",NA,"H+ [Mitochondria]; isocitrate [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; oxalosuccinate [Mitochondria]","MAM02039m[m]; MAM02183m[m]; MAM02552m[m]; MAM02553m[m]; MAM02662m[m]","Idh","Idh",0,0,-20.5461828455063,0,0,0,0,0,1
"MAR05297","Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism",NA,"AKG [Mitochondria]; CO2 [Mitochondria]; CoA [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; succinyl-CoA [Mitochondria]","MAM01306m[m]; MAM01596m[m]; MAM01597m[m]; MAM02552m[m]; MAM02553m[m]; MAM02944m[m]","CG5214; CG7430; Ogdh","CG5214 and CG7430 and Ogdh",0,-18.8625303237093,-12.3540594428042,0,0,0,0,1,1
"MAR02505","Omega-3 fatty acid metabolism",NA,"(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA [Cytosol]; (9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA [Cytosol]; H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; O2 [Cytosol]","MAM00113c[c]; MAM00134c[c]; MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]; MAM02630c[c]","Cyt-b5-r","Cyt-b5-r",0,0,0.0100241064548237,0,0,1,0,0,0
"MAR01134","Leukotriene metabolism",NA,"20-COOH-LTB4 [Endoplasmic reticulum]; 20-oxo-LTB4 [Endoplasmic reticulum]; H+ [Endoplasmic reticulum]; H2O [Endoplasmic reticulum]; NAD+ [Endoplasmic reticulum]; NADH [Endoplasmic reticulum]","MAM00585r[r]; MAM00600r[r]; MAM02039r[r]; MAM02040r[r]; MAM02552r[r]; MAM02553r[r]","Aldh; Aldh-III","Aldh or Aldh-III",-0.023189751897462,-0.0231665621455552,-0.0251554582671287,0,0,0,1,1,1
"MAR03328","Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)",NA,"3(S)-hydroxy-hexacosenoyl-CoA [Peroxisome]; 3-oxo-hexacosenoyl-CoA [Peroxisome]; H+ [Peroxisome]; NAD+ [Peroxisome]; NADH [Peroxisome]","MAM00715p[p]; MAM00879p[p]; MAM02039p[p]; MAM02552p[p]; MAM02553p[p]","Mfe2","Mfe2",0,0,0.0096671314492589,0,0,1,0,0,0
"MAR03262","Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)",NA,"3-oxomyrist-7-enoyl-CoA [Mitochondria]; cis-(3S)-hydroxytetradec-7-enoyl-CoA [Mitochondria]; H+ [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]","MAM00886m[m]; MAM01574m[m]; MAM02039m[m]; MAM02552m[m]; MAM02553m[m]","Mtpα; scu","Mtpα and scu",0,0,0.0100916053643053,0,0,1,0,0,0
"MAR03236","Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)",NA,"3-oxomyrist-5-enoyl-CoA [Mitochondria]; cis-(3S)-hydroxytetradec-5-enoyl-CoA [Mitochondria]; H+ [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]","MAM00885m[m]; MAM01573m[m]; MAM02039m[m]; MAM02552m[m]; MAM02553m[m]","Mtpα; scu","Mtpα and scu",0,0,0.0126736522213626,0,0,1,0,0,0
"MAR00479","Glycerophospholipid metabolism",NA,"DHAP [Cytosol]; H+ [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; sn-glycerol-3-phosphate [Cytosol]","MAM01690c[c]; MAM02039c[c]; MAM02552c[c]; MAM02553c[c]; MAM02914c[c]","Gpdh1","Gpdh1",-7.62009376217247,15.5522421988043,32.7371596235924,0,1,1,1,0,0
"MAR01317","Prostaglandin biosynthesis",NA,"11-dehydro-thromboxane B2 [Cytosol]; H+ [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; thromboxane B2 [Cytosol]","MAM00293c[c]; MAM02039c[c]; MAM02552c[c]; MAM02553c[c]; MAM02995c[c]","No genes associated","No rule available",0,0,-0.00656638196728299,0,0,0,0,0,1
"MAR01678","Bile acid biosynthesis",NA,"5beta-cholestane-3alpha,7alpha-diol [Cytosol]; 7alpha-hydroxy-5beta-cholestan-3-one [Cytosol]; H+ [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM01095c[c]; MAM01181c[c]; MAM02039c[c]; MAM02552c[c]; MAM02553c[c]","Akr1B","Akr1B",0,0,-0.00284777911386502,0,0,0,0,0,1
"MAR01684","Bile acid biosynthesis",NA,"3alpha,7alpha-dihydroxy-5beta-cholestan-26-al [Cytosol]; 5beta-cholestane-3alpha,7alpha,26-triol [Cytosol]; H+ [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM00756c[c]; MAM01093c[c]; MAM02039c[c]; MAM02552c[c]; MAM02553c[c]","Fdh","Fdh",0,0,-0.00155045317670936,0,0,0,0,0,1
"MAR01692","Bile acid biosynthesis",NA,"3alpha,7alpha-dihydroxy-5beta-cholestan-26-al [Cytosol]; 3alpha,7alpha-dihydroxy-5beta-cholestanate [Cytosol]; H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM00756c[c]; MAM00758c[c]; MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]","Aldh; Aldh-III","Aldh or Aldh-III",0,0,-0.00155045317782317,0,0,0,0,0,1
"MAR03992","Nicotinate and nicotinamide metabolism",NA,"ferricytochrome B5 [Cytosol]; ferrocytochrome B5 [Cytosol]; H+ [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM01823c[c]; MAM01825c[c]; MAM02039c[c]; MAM02552c[c]; MAM02553c[c]","CG5946","CG5946",0,0,0.00813357471805354,0,0,1,0,0,0
"MAR04261","Nicotinate and nicotinamide metabolism",NA,"AMP [Cytosol]; ATP [Cytosol]; deamido-NAD [Cytosol]; NAD+ [Cytosol]; NH3 [Cytosol]; PPi [Cytosol]","MAM01334c[c]; MAM01371c[c]; MAM01646c[c]; MAM02552c[c]; MAM02578c[c]; MAM02759c[c]","Nadsyn","Nadsyn",-0.927590075898106,-0.926662485822124,-1.04743883245593,0,0,0,1,1,1
"MAR04269","Nicotinate and nicotinamide metabolism",NA,"ADP [Cytosol]; ATP [Cytosol]; H+ [Cytosol]; NAD+ [Cytosol]; NADP+ [Cytosol]","MAM01285c[c]; MAM01371c[c]; MAM02039c[c]; MAM02552c[c]; MAM02554c[c]","CG33156; CG8080; NADK","CG33156 or CG8080 or NADK",-0.463795037949053,-0.463331242911092,-0.549136109017642,0,0,0,1,1,1
"MAR04270","Nicotinate and nicotinamide metabolism",NA,"H2O [Cytosol]; NAD+ [Cytosol]; NADP+ [Cytosol]; Pi [Cytosol]","MAM02040c[c]; MAM02552c[c]; MAM02554c[c]; MAM02751c[c]","CG1637; CG6656; primo-1; primo-2","CG1637 or CG6656 or primo-1 or primo-2",0,0,-0.011155277813149,0,0,0,0,0,1
"MAR06631","Retinol metabolism",NA,"H+ [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; retinal [Cytosol]; retinol [Cytosol]","MAM02039c[c]; MAM02552c[c]; MAM02553c[c]; MAM02832c[c]; MAM02834c[c]","CG8888","CG8888",0,0,-0.0184573892040255,0,0,0,0,0,1
"MAR06633","Retinol metabolism",NA,"H+ [Endoplasmic reticulum]; NAD+ [Endoplasmic reticulum]; NADH [Endoplasmic reticulum]; retinal [Endoplasmic reticulum]; retinol [Endoplasmic reticulum]","MAM02039r[r]; MAM02552r[r]; MAM02553r[r]; MAM02832r[r]; MAM02834r[r]","CG8888","CG8888",-0.0927590075898105,-0.0926662485822207,-0.107537558726366,0,0,0,1,1,1
"MAR06638","Retinol metabolism",NA,"11-cis-retinal [Cytosol]; 11-cis-retinol [Cytosol]; H+ [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM00290c[c]; MAM00291c[c]; MAM02039c[c]; MAM02552c[c]; MAM02553c[c]","CG8888","CG8888",0,-99.908976251314,-5.39881873871536,0,0,0,0,1,1
"MAR06644","Retinol metabolism",NA,"9-cis-retinal [Cytosol]; 9-cis-retinol [Cytosol]; H+ [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM01230c[c]; MAM01232c[c]; MAM02039c[c]; MAM02552c[c]; MAM02553c[c]","CG8888","CG8888",-0.0463795037949239,-0.0463331242911103,-0.0537687793583848,0,0,0,1,1,1
"MAR06652","Retinol metabolism",NA,"9-cis-retinal [Endoplasmic reticulum]; 9-cis-retinoate [Endoplasmic reticulum]; H+ [Endoplasmic reticulum]; H2O [Endoplasmic reticulum]; NAD+ [Endoplasmic reticulum]; NADH [Endoplasmic reticulum]","MAM01230r[r]; MAM01231r[r]; MAM02039r[r]; MAM02040r[r]; MAM02552r[r]; MAM02553r[r]","CG31075","CG31075",-0.0463795037949239,-0.0463331242911103,-0.053768779361061,0,0,0,1,1,1
"MAR04559","Serotonin and melatonin biosynthesis",NA,"5-hydroxyindoleacetaldehyde [Cytosol]; 5-hydroxyindoleacetate [Cytosol]; H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM01102c[c]; MAM01103c[c]; MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]","Aldh; Aldh-III","Aldh or Aldh-III",0,0,0.0738115276100335,0,0,1,0,0,0
"MAR08613","Vitamin B12 metabolism",NA,"aquacob(III)alamin [Cytosol]; cob(II)alamin [Cytosol]; H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]","MAM01361c[c]; MAM01599c[c]; MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]","No genes associated","No rule available",-0.231897518974526,-0.231665621455552,-0.26884389678591,0,0,0,1,1,1
"MAR02131","Vitamin D metabolism",NA,"23S,25,26-trihydroxyvitamin D3 [Cytosol]; 23s,25-dihydroxyvitamin D3 [Cytosol]; H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; O2 [Cytosol]","MAM00607c[c]; MAM00608c[c]; MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]; MAM02630c[c]","Coq6","Coq6",-0.0463795037949053,-0.0463331242911103,-0.0537687793558565,0,0,0,1,1,1
"MAR02139","Vitamin D metabolism",NA,"(24R)-24,25-dihydroxycalciol [Cytosol]; calcitetrol [Cytosol]; H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; O2 [Cytosol]","MAM00035c[c]; MAM01416c[c]; MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]; MAM02630c[c]","Cyp49a1","Cyp49a1",-0.0463795037949053,-0.0463331242911103,-0.0537687793626862,0,0,0,1,1,1
"MAR02140","Vitamin D metabolism",NA,"(24R)-24,25-dihydroxycalciol [Mitochondria]; calcitetrol [Mitochondria]; H+ [Mitochondria]; H2O [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; O2 [Mitochondria]","MAM00035m[m]; MAM01416m[m]; MAM02039m[m]; MAM02040m[m]; MAM02552m[m]; MAM02553m[m]; MAM02630m[m]","Cyp49a1","Cyp49a1",-0.0463795037949053,-0.0463331242911103,-0.0537687793571626,0,0,0,1,1,1
"MAR00041","Ubiquinone synthesis",NA,"3,4-dihydroxy-5-all-trans-decaprenylbenzoate [Mitochondria]; 3-decaprenyl-4-hydroxybenzoate [Mitochondria]; H+ [Mitochondria]; H2O [Mitochondria]; NAD+ [Mitochondria]; NADH [Mitochondria]; O2 [Mitochondria]","MAM00725m[m]; MAM00767m[m]; MAM02039m[m]; MAM02040m[m]; MAM02552m[m]; MAM02553m[m]; MAM02630m[m]","No genes associated","No rule available",0,0,-0.00525577753964301,0,0,0,0,0,1
"MAR00144","Fatty acid biosynthesis",NA,"H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; O2 [Cytosol]; palmitoleoyl-CoA [Cytosol]; palmitoyl-CoA [Cytosol]","MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]; MAM02630c[c]; MAM02677c[c]; MAM02678c[c]","Desat1","Desat1",0,0,0.0031235385130941,0,0,1,0,0,0
"MAR00146","Fatty acid biosynthesis",NA,"H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; O2 [Cytosol]; oleoyl-CoA [Cytosol]; stearoyl-CoA [Cytosol]","MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]; MAM02630c[c]; MAM02647c[c]; MAM02941c[c]","Desat1","Desat1",0,0,0.00304535292810826,0,0,1,0,0,0
"MAR00147","Fatty acid biosynthesis",NA,"H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; O2 [Cytosol]; stearoyl-CoA [Cytosol]; 11-Octadecenoyl Coenzyme A [Cytosol]","MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]; MAM02630c[c]; MAM02941c[c]; MAM03791c[c]","Desat1","Desat1",0,0,0.000172260528924273,0,0,1,0,0,0
"MAR00148","Fatty acid biosynthesis",NA,"(2E)-octadecenoyl-CoA [Cytosol]; H+ [Cytosol]; H2O [Cytosol]; NAD+ [Cytosol]; NADH [Cytosol]; O2 [Cytosol]; stearoyl-CoA [Cytosol]","MAM00057c[c]; MAM02039c[c]; MAM02040c[c]; MAM02552c[c]; MAM02553c[c]; MAM02630c[c]; MAM02941c[c]","Desat1","Desat1",0,0,0.000426833214112854,0,0,1,0,0,0
