b_1,b_2
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
CG9921 Hacd1 Hacd2,1820204.64027
Dera,1713510.80176
Ahcy AhcyL1,1625032.48987
Ahcy AhcyL1,1625032.48987
Adk2,1469387.14369
 CG11777 CG3511 Cypl cyp33  CG10907 CG11858 CG14715 CG17266 CG2852 CG5808 CG7747 CG7768 Cyp1 Cyp40 Fkbp12 Fkbp14 Fkbp59 Moca-cyp dod shu zda,1208836.77902
Irp-1A mAcon1,1074021.68389
Irp-1A mAcon1,1074021.68389
Irp-1A mAcon1,1074021.68389
Irp-1A,710042.304879
Pepck1,666923.639884
Arc42 Mcad,576018.251415
Arc42 Mcad,576018.251415
Arc42 Mcad,576018.251415
Arc42 Mcad,576018.251415
Arc42 Mcad,576018.251415
Arc42 Mcad,576018.251415
Arc42 Mcad,576018.251415
Arc42 Mcad,576018.251415
Arc42 Mcad,576018.251415
Arc42 Mcad,576018.251415
Arc42 Mcad,576018.251415
Arc42 Mcad,576018.251415
Arc42 Mcad,576018.251415
Arc42 Mcad,576018.251415
Arc42 Mcad,576018.251415
Arc42 Mcad,576018.251415
Arc42 Mcad,576018.251415
Arc42 Mcad,576018.251415
CG4390,450694.708075
Pgi,439630.161905
Pgi,439630.161905
CG15111 CG18258 CG1986 CG5162 Sdc trol CG6271 CG6283,347440.752902
CG15111,347440.752902
CG15111,347440.752902
CG15111,347440.752902
CG15111,347440.752902
CG15111,347440.752902
CG15111,347440.752902
CG15111,347440.752902
CG15111,347440.752902
CG15111 CG18258 CG1986 CG5162 Sdc trol CG6271 CG6283,347440.752902
 ACOX1 Mfe2  ACOX1,329143.72782
 ACOX1 Mfe2  ACOX1,329143.72782
 ACOX1 Mfe2  ACOX1,329143.72782
 ACOX1 Mfe2  ACOX1,329143.72782
 ACOX1 Mfe2  ACOX1,329143.72782
 ACOX1 Mfe2  ACOX1,329143.72782
 ACOX1 Mfe2  ACOX1,329143.72782
 ACOX1 Mfe2  ACOX1,329143.72782
 ACOX1 Mfe2  ACOX1,329143.72782
 ACOX1 Mfe2  ACOX1,329143.72782
 ACOX1 Mfe2  ACOX1,329143.72782
 ACOX1 Mfe2  ACOX1,329143.72782
 ACOX1 Mfe2  ACOX1,329143.72782
 ACOX1 Mfe2  ACOX1,329143.72782
 ACOX1 Mfe2  ACOX1,329143.72782
 ACOX1 Ech1  ACOX1,329143.72782
 ACOX1 Ech1  ACOX1,329143.72782
 ACOX1 Ech1  ACOX1,329143.72782
CG3902,301517.179805
CG3902,301517.179805
CG3902,301517.179805
CG3902,301517.179805
CG3902,301517.179805
CG8778,276149.749341
CG8778,276149.749341
CG8745,202515.677056
colt,182753.636085
Mfe2,180777.431987
Mfe2,180777.431987
Mfe2,180777.431987
Mfe2,180777.431987
Mfe2,180777.431987
Pisd,175203.872022
Pisd,175203.872022
Pisd,175203.872022
Cchl,174848.819696
Acph-1 Aldh-III Alp1 Alp10 Alp5 Alp6 Alp9 CG15385 CG31075 CG6656 CG9449 phu primo-1 primo-2,165679.275341
Alp6 Alp9 primo-1 primo-2,165679.275341
CG31522 Elovl7,162991.595113
CG31522 Elovl7,162991.595113
CG31522 Elovl7,162991.595113
Odc1,148023.929025
Odc1,148023.929025
SamDC,141253.350045
Acph-1 CG15385 CG1637 CG6656 CG9449 primo-1 primo-2,129676.878743
Acph-1 CG15385 CG1637 CG6656 CG9449 primo-1 primo-2,129676.878743
FeCH,129396.125462
Ssl2,127750.604632
Ih PyK,124488.556521
PyK,124488.556521
PyK,124488.556521
PyK,124488.556521
PyK,124488.556521
PyK,124488.556521
PyK,124488.556521
Hacl,117538.900879
CG7430 Pdha Pdhb muc,110676.273058
CG3999 CG6415 CG7430 ppl,110676.273058
CG3999 CG6415 CG7430 ppl,110676.273058
CG3999 CG6415 CG7430 ppl,110676.273058
CG3999 CG6415 CG7430 ppl,110676.273058
CG3999 CG6415 CG7430 ppl,110676.273058
CG17691 CG7430 CG8199 Prx6005 Pxn,110676.273058
CG7430,110676.273058
CG7430,110676.273058
CG3999 CG6415 CG7430 ppl,110676.273058
CG17691 CG7430 CG8199,110676.273058
CG1635 CG1638 CG1774,109463.571503
Apt1 CG11029 CG13950 CG18858 CG31683 CG6428 CG7365 CG8526 sws,107184.325781
Apt1 CG11029 CG13950 CG18858 CG31683 CG6428 CG7365 CG8526 sws,107184.325781
CG2224 CYLD DUBAI Duba PAN2 Usp1 Usp10 Usp12-46 Usp14 Usp15-31 Usp16-45 Usp2 Usp20-33 Usp30 Usp32 Usp47 Usp5 Usp7 Usp8 faf not puf scny,101841.088178
Ech1,95800.6558105
Uxs,91848.2476162
Uxs,91848.2476162
Uxs,91848.2476162
CG10184,87895.8394219
CG9547,85919.6353248
CG1532 Glo1,78806.696985
Mocs1,78014.8189362
CG30486 Clk Fatp2 Hmgs Lsd-2 Men Rgl St2 Trxr-1 sif trbl,74301.4703298
amd,64181.3902563
Pepck2,60228.982062
Odc2,60228.982062
CG30338 Men,58090.2404397
Men Men-b,58090.2404397
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
awd,54707.488624
awd,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
awd,54707.488624
awd,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
awd,54707.488624
awd,54707.488624
awd,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
awd,54707.488624
awd,54707.488624
awd,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
CG15547 awd nmdyn-D6 nmdyn-D7,54707.488624
Got1,53254.1263794
Got1 Got2,53254.1263794
Got1,53254.1263794
Got1 Got2,53254.1263794
Got1 Got2,53254.1263794
Got1,53254.1263794
Got1,53254.1263794
   Vha16-1 Vha16-3   VhaM9.7-a VhaM9.7-c  Vha100-1 VhaAC39-2 VhaPPA1-1    Vha16-1 Vha16-3   VhaM9.7-a VhaM9.7-c  Vha100-1 VhaAC39-1 VhaPPA1-1      Vha36-1 Vha36-3  Vha13 Vha14-1 Vha26 Vha55 Vha68-2 VhaSFD  ,53156.4112179
Psa S-Lap1 S-Lap2 superdeath,50811.7695925
Psa S-Lap1 S-Lap2 superdeath,50811.7695925
kdn,49009.3302338
Nurf-38 pn,41239.7234241
Nurf-38 pn,41239.7234241
Nurf-38 pn,41239.7234241
Nurf-38 pn,41239.7234241
Nurf-38 pn,41239.7234241
 COX4 COX4L  COX5A COX5B COX6B COX7A COX7C COX8 cype levy mt:CoI mt:CoII mt:CoIII,33840.8425228
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
CG33177 CG33178 GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
CG33177 CG33178 GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
CG33177 CG33178 GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
CG33177 CG33178 GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
CG33177 CG33178 GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
CG33177 CG33178 GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
CG33177 CG33178 GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
Akr1B CG33177 CG33178 GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
CG33177 CG33178 GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
CG33177 CG33178 GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
CG33177 CG33178 GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
CG33177 CG33178 GstO3 GstS1 GstT1 GstT3 GstZ1 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT3 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT3 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT3 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT3 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT3 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT3 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT3 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT3 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT3 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT3 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT3 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT3 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT3 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT3 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT3 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT3 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT3 Mgstl se GstO2,31818.9366035
GstO3 GstS1 GstT1 GstT3 Mgstl se GstO2,31818.9366035
CG6287,27669.3943036
CG6287,27669.3943036
CG7430 Pdha Pdhb muc,25524.1792517
 Dpm1 Dpm2 Dpm3  Alg12,25379.2222667
 Dpm1 Dpm2 Dpm3  Alg9,25379.2222667
Jafrac1 PHGPx Prx3 Prx5 Prx6005,22993.9193036
Jafrac1 PHGPx Prx3 Prx5 Prx6005,22993.9193036
Jafrac1 PHGPx Prx3 Prx5 Prx6005,22993.9193036
Got2,17593.9645336
Got2,17593.9645336
Got2,17593.9645336
Got2,17593.9645336
Got2 Tat,17593.9645336
CG33177 CG33178 SuP p23,17351.4651776
CG33177 CG33178 SuP p23,17351.4651776
CG33177 CG33178 SuP p23,17351.4651776
CG33177 CG33178 SuP p23,17351.4651776
CG33177 CG33178 SuP p23,17351.4651776
p23,17351.4651776
CG7834 Etf-QO SdhC wal,15520.9464194
Ak1 Ak2 Ak3 CG15543 CG9541 Taf9,14720.4333305
Ak1 Ak2 Ak3 CG15543 CG9541 Taf9,14720.4333305
Acox3 Ak1 Ak2 Ak3 CG15543 CG7461 CG9541 Mcad,14720.4333305
Dhpr,14641.2871099
Dhpr,14641.2871099
Fpps qm,14367.7926997
Sod2,13935.5344577
 COX4 COX4L  COX5A COX5B COX6B COX7A COX7C COX8 cype levy mt:CoI mt:CoII mt:CoIII,13113.3264776
Men Men-b,12383.5783883
S-Lap1 S-Lap2,10900.214599
FASN1 FASN2,10643.7028706
Ald1,10489.0626867
Ald1,10489.0626867
Ald1,10489.0626867
Ald1,10489.0626867
Ald1,10489.0626867
Ald1,10489.0626867
Got1 Got2 Tat,10431.3044496
Got1 Got2 Tat,10431.3044496
sesB,9878.39783074
 CG33303 Dad1 Ost48 OstΔ Stt3A   CG33303 Dad1 Ost48 OstΔ Ostγ Stt3B ,9813.08231217
CG5948 Sod3,8943.01884386
CG8353 CG8360,8100.34929977
CG8353 CG8360,8100.34929977
Cox10 Dhdds heix htk,8044.47582674
Pgd,7308.57521691
Pgd,7308.57521691
Pgd,7308.57521691
GstZ1 Mgstl,7209.36164113
GstZ1 Mgstl,7209.36164113
GstZ1 Mgstl,7209.36164113
Mgstl,7209.36164113
GstZ1 Mgstl,7209.36164113
Mgstl,7209.36164113
GstZ1 Mgstl,7209.36164113
Mgstl,7209.36164113
GstZ1 Mgstl,7209.36164113
Mgstl,7209.36164113
GstZ1 Mgstl,7209.36164113
Mgstl,7209.36164113
CG18258 CG1986 CG5162 CG6271 CG6283,7052.83601541
CG18258 CG1986 CG31871 CG5162 CG5665 CG5966 CG8093 Gli Hsl Lip3 Lip4 bmm inaE CG6472,7052.83601541
CG18258 CG1986 CG31871 CG5162 CG5665 CG5966 CG8093 Gli Hsl Lip3 Lip4 bmm inaE CG6472,7052.83601541
CG18258 CG1986 CG31871 CG5162 CG5665 CG5966 CG8093 Gli Hsl Lip3 Lip4 bmm inaE CG6472,7052.83601541
CG18258 CG1986 CG31871 CG5162 CG5665 CG5966 CG8093 Gli Hsl Lip3 Lip4 bmm inaE CG6472,7052.83601541
CG18258 CG1986 CG31871 CG5162 CG5665 CG5966 CG8093 Gli Hsl Lip3 Lip4 bmm inaE CG6472,7052.83601541
CG18258 CG1986 CG31871 CG5162 CG5665 CG5966 CG8093 Gli Hsl Lip3 Lip4 bmm inaE CG6472,7052.83601541
CG18258 CG1986 CG31871 CG5162 CG5665 CG5966 CG8093 Gli Hsl Lip3 Lip4 bmm inaE CG6472,7052.83601541
CG18258 CG1986 CG31871 CG5162 CG5665 CG5966 CG8093 Gli Hsl Lip3 Lip4 bmm inaE CG6472,7052.83601541
CG18258 CG1986 CG5162 CG6271 CG6283,7052.83601541
CG18258 CG1986 CG5162 CG6271 CG6283,7052.83601541
CG18258 CG1986 CG5162 CG6271 CG6283,7052.83601541
CG18258 CG1986 CG5162 CG6271 CG6283,7052.83601541
CG16758,6799.07630192
CG16758,6799.07630192
CG16758,6799.07630192
CG16758,6799.07630192
CG16758,6799.07630192
CG16758,6799.07630192
CG16758,6799.07630192
CG16758,6799.07630192
CG16758,6799.07630192
CG16758,6799.07630192
ACC ACOX1 CG10359 CG1791 CG17928 CG18258 CG1889 CG1986 CG3961 CG5162 CG9593 CPT2 Cyt-b5-r Desat1 Drep1 Drep2 Drep3 FASN1 Fatp2 Gpdh1 HP1b Hmgs Lsd-2 Mcad Mdr50 Mtp Pdi Pdk Pex11ab SREBP Snmp2 St2 Ugt302C1 Ugt302K1 bmm mdy whd CG6271 CG6283 FASN2,6617.94472573
UGP,6575.03178311
Idh3a Idh3b Idh3g,6556.33590193
CG7115 PKD Vap33 cert gish,6448.19299381
Fum1,6382.32506068
Fum1,6382.32506068
Mdh2,6329.37382531
Mdh2,6329.37382531
Abcd1 CG13887 CaMKI Idh3g Mkp3 Nrg PlexB SRPK Slip1 Tapδ,6166.46916587
Abcd1 CG13887 CaMKI Idh3g Mkp3 Nrg PlexB SRPK Slip1 Tapδ,6166.46916587
Abcd1 CG13887 CaMKI Idh3g Mkp3 Nrg PlexB SRPK Slip1 Tapδ,6166.46916587
Abcd1 CG13887 CaMKI Idh3g Mkp3 Nrg PlexB SRPK Slip1 Tapδ,6166.46916587
Abcd1 CG13887 CaMKI Idh3g Mkp3 Nrg PlexB SRPK Slip1 Tapδ,6166.46916587
Abcd1 CG13887 CaMKI Idh3g Mkp3 Nrg PlexB SRPK Slip1 Tapδ,6166.46916587
CalpA GCS2α,6008.30117863
GCS2α,6008.30117863
GCS2α,6008.30117863
GCS2α,6008.30117863
Gdh,5988.20348149
Gdh,5988.20348149
Alg1 CG30036 CG30037 CG9109 FucTA FucTB GalT1 Mgat4a PIG-B PIG-M PIG-V PIG-Z Pgant35A Pgant7 Stt3A Stt3B Uggt brn rumi sxc α4GT2 β4GalNAcTA β4GalT7,5871.50569057
Alg1 CG30036 CG30037 CG9109 FucTA FucTB GalT1 Mgat4a PIG-B PIG-M PIG-V PIG-Z Pgant35A Pgant7 Stt3A Stt3B Uggt brn rumi sxc α4GT2 β4GalNAcTA β4GalT7,5871.50569057
Alg1 CG30036 CG30037 CG9109 FucTA FucTB GalT1 Mgat4a PIG-B PIG-M PIG-V PIG-Z Pgant35A Pgant7 Stt3A Stt3B Uggt brn rumi sxc α4GT2 β4GalNAcTA β4GalT7,5871.50569057
Alg1 CG30036 CG30037 CG9109 FucTA FucTB GalT1 Mgat4a PIG-B PIG-M PIG-V PIG-Z Pgant35A Pgant7 Stt3A Stt3B Uggt brn rumi sxc α4GT2 β4GalNAcTA β4GalT7,5871.50569057
CG8891,5842.2121552
CG8891,5842.2121552
CG8891,5842.2121552
CG8891,5842.2121552
CG8891,5842.2121552
CG8891,5842.2121552
CG8891,5842.2121552
Mdh1,5526.73147029
Mdh1,5526.73147029
AcCoAS CG6432,5228.90364449
Fdh T3dh,4989.87781781
Fdh T3dh,4989.87781781
Fdh T3dh,4989.87781781
Fdh T3dh,4989.87781781
Fdh T3dh,4989.87781781
Fdh T3dh,4989.87781781
Fdh T3dh,4989.87781781
Fdh T3dh,4989.87781781
Akr1B CG2767 Fdh,4989.87781781
Akr1B CG2767 Fdh,4989.87781781
Fdh T3dh,4989.87781781
CG15629 CG8888 CG9265 Fdh T3dh,4989.87781781
CG15629 CG8888 CG9265 Fdh T3dh,4989.87781781
Fdh T3dh,4989.87781781
Fdh T3dh,4989.87781781
CG16985 CG16986,4943.91421153
CG16985 CG16986,4943.91421153
CG16985 CG16986,4943.91421153
CG16985 CG16986,4943.91421153
CG16985 CG16986,4943.91421153
Aldh Aldh-III Aldh7A1,4673.71874779
Aldh Aldh-III Aldh7A1,4673.71874779
Aldh Aldh-III Aldh7A1,4673.71874779
Aldh Aldh-III Aldh7A1,4673.71874779
Aldh Aldh-III Aldh7A1,4673.71874779
Aldh Aldh-III Aldh7A1,4673.71874779
Aldh Aldh-III Aldh7A1,4673.71874779
Aldh Aldh-III Aldh7A1,4673.71874779
Aldh Aldh-III Aldh7A1,4673.71874779
Aldh Aldh-III Aldh7A1,4673.71874779
Aldh Aldh-III Aldh7A1,4673.71874779
Aldh Aldh-III Aldh7A1,4673.71874779
