Reaction ID	Equation	Genes	C/P	Subsystem	Compartment
MAR01132	20-COOH-LTB4 [c] + 2 H+ [c] + NADH [c] ⇔ 20-oxo-LTB4 [c] + H2O [c] + NAD+ [c]	Aldh7A1; Aldh; Aldh-III	consume/produce	Leukotriene metabolism	Cytosol
MAR01228	12-keto-LTB4 [c] + H+ [c] + NADH [c] ⇒ 10,11-dihydro-12-oxo-LTB4 [c] + NAD+ [c]	spidey; Sc2	produce	Leukotriene metabolism	Cytosol
MAR01317	11-dehydro-thromboxane B2 [c] + H+ [c] + NADH [c] ⇔ NAD+ [c] + thromboxane B2 [c]		consume/produce	Prostaglandin biosynthesis	Cytosol
MAR01319	6-oxo-prostaglandin E1 [c] + H+ [c] + NADH [c] ⇔ 6-oxo-prostaglandin F1alpha [c] + NAD+ [c]		consume/produce	Prostaglandin biosynthesis	Cytosol
MAR01320	6-oxo-prostaglandin F1alpha [c] + 2 H+ [c] + 2 NADH [c] ⇔ H2O [c] + 2 NAD+ [c] + prostaglandin F1alpha [c]		consume/produce	Prostaglandin biosynthesis	Cytosol
MAR01325	NAD+ [c] + prostaglandin F2alpha [c] ⇒ H+ [c] + NADH [c] + prostaglandin H2 [c]	CG6083	consume	Prostaglandin biosynthesis	Cytosol
MAR01328	15-keto-prostaglandin F2alpha [c] + H+ [c] + NADH [c] ⇔ NAD+ [c] + prostaglandin F2alpha [c]		consume/produce	Prostaglandin biosynthesis	Cytosol
MAR01453	3 H+ [c] + NADH [c] + 2 hydroxypyruvate [c] ⇒ 2 (S)-Glycerate [c] + NAD+ [c]	Ldh	produce	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	Cytosol
MAR01531	H+ [c] + NADH [c] + O2 [c] + provitamin D3 [c] ⇒ 27alpha-hydroxy-7-dehydrocholesterol [c] + H2O [c] + NAD+ [c]	Cyp12a4; Cyp12d1-p; Cyp12a5; Cyp12d1-d; Cyp12c1; Cyp12b2	produce	Cholesterol metabolism	Cytosol
MAR01542	ATP [c] + H+ [c] + nicotinamide D-ribonucleotide [c] ⇒ NAD+ [c] + PPi [c]	Nmnat	produce	Nicotinate and nicotinamide metabolism	Cytosol
MAR01568	H2O [c] + NAD+ [c] + acetaldehyde [c] ⇒ 2 H+ [c] + NADH [c] + acetate [c]	Aldh-III	consume	Pyruvate metabolism	Cytosol
MAR01598	7alpha,12alpha-dihydroxy-5beta-cholestan-3-one [c] + H+ [c] + NADH [c] ⇒ 5beta-cholestan-3alpha,7alpha,12alpha-triol [c] + NAD+ [c]	CG6083	produce	Bile acid biosynthesis	Cytosol
MAR01608	5beta-cholestane-3alpha,7alpha,12alpha,26-tetrol [c] + NAD+ [c] ⇒ 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al [c] + H+ [c] + NADH [c]	Cyp12b2; Cyp12c1; Cyp12d1-p; Cyp12a5; Cyp12d1-d; Cyp12a4	consume	Bile acid biosynthesis	Cytosol
MAR01611	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al [c] + H2O [c] + NAD+ [c] ⇒ 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate [c] + 2 H+ [c] + NADH [c]	Cyp12c1; Cyp12a4; Cyp12d1-d; Cyp12b2; Cyp12d1-p; Cyp12a5	consume	Bile acid biosynthesis	Cytosol
MAR01678	7alpha-hydroxy-5beta-cholestan-3-one [c] + H+ [c] + NADH [c] ⇒ 5beta-cholestane-3alpha,7alpha-diol [c] + NAD+ [c]	CG6083	produce	Bile acid biosynthesis	Cytosol
MAR01684	3alpha,7alpha-dihydroxy-5beta-cholestan-26-al [c] + H+ [c] + NADH [c] ⇔ 5beta-cholestane-3alpha,7alpha,26-triol [c] + NAD+ [c]	Fdh; T3dh	consume/produce	Bile acid biosynthesis	Cytosol
MAR01692	3alpha,7alpha-dihydroxy-5beta-cholestan-26-al [c] + H2O [c] + NAD+ [c] ⇔ 3alpha,7alpha-dihydroxy-5beta-cholestanate [c] + 2 H+ [c] + NADH [c]	Aldh; Aldh7A1; Aldh-III	consume/produce	Bile acid biosynthesis	Cytosol
MAR01738	NAD+ [c] + cholest-5-ene-3beta,7alpha,24(S)-triol [c] ⇒ 4-cholesten-7alpha,24(S)-diol-3-one [c] + H+ [c] + NADH [c]	CG7724	consume	Bile acid biosynthesis	Cytosol
MAR01766	NAD+ [c] + cholest-5-ene-3beta,7alpha,27-triol [c] ⇒ 4-cholesten-7alpha,27-diol-3-one [c] + H+ [c] + NADH [c]	CG7724	consume	Bile acid biosynthesis	Cytosol
MAR01803	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-26-al [c] + H+ [c] + NADH [c] ⇔ 5beta-cholestane-3alpha,7alpha,12alpha,27-tetraol [c] + NAD+ [c]	Cyp12b2; Cyp12d1-d; Cyp12a5; Cyp12d1-p; Cyp12c1; Cyp12a4	consume/produce	Bile acid biosynthesis	Cytosol
MAR01941	21-hydroxypregnenolone [c] + NAD+ [c] ⇒ 11-deoxycorticosterone [c] + H+ [c] + NADH [c]	CG7724	consume	Steroid metabolism	Cytosol
MAR01949	17alpha,21-dihydroxypregnenolone [c] + NAD+ [c] ⇒ 11-deoxycortisol [c] + H+ [c] + NADH [c]	CG7724	consume	Steroid metabolism	Cytosol
MAR01951	11beta,17alpha,21-trihydroxypregnenolone [c] + NAD+ [c] ⇒ H+ [c] + NADH [c] + cortisol [c]	CG7724	consume	Steroid metabolism	Cytosol
MAR01967	NAD+ [c] + dehydroepiandrosterone [c] ⇒ 5-androstene-3,17-dione [c] + H+ [c] + NADH [c]	CG7724	consume	Androgen metabolism	Cytosol
MAR01970	5-androstene-3,17-dione [c] + H+ [c] + NAD+ [c] ⇒ 4-androstene-3,17-dione [c] + NADH [c]	CG7724	consume	Androgen metabolism	Cytosol
MAR01979	NAD+ [c] + pregnenolone [c] ⇒ H+ [c] + NADH [c] + pregn-5-ene-3,20-dione [c]	CG7724	consume	Glucocorticoid biosynthesis	Cytosol
MAR01982	17alpha-hydroxypregnenolone [c] + NAD+ [c] ⇒ H+ [c] + NADH [c] + pregn-5-ene-3,20-dione-17-ol [c]	CG7724	consume	Androgen metabolism	Cytosol
MAR02004	5alpha-pregnane-3,20-dione [c] + H+ [c] + NADH [c] ⇔ NAD+ [c] + allopregnanolone [c]	CG6083	consume/produce	Steroid metabolism	Cytosol
MAR02016	5alpha-androstane-3,17-dione [c] + H+ [c] + NADH [c] ⇒ NAD+ [c] + androsterone [c]	CG6083	produce	Androgen metabolism	Cytosol
MAR02022	5-alpha-dihydrotestosterone [c] + NADH [c] ⇔ H+ [c] + NAD+ [c] + androstenediol [c]	CG7724	consume/produce	Androgen metabolism	Cytosol
MAR02131	23s,25-dihydroxyvitamin D3 [c] + H+ [c] + NADH [c] + O2 [c] ⇒ 23S,25,26-trihydroxyvitamin D3 [c] + H2O [c] + NAD+ [c]	Cyp4c3; Coq6	produce	Vitamin D metabolism	Cytosol
MAR02139	(24R)-24,25-dihydroxycalciol [c] + H+ [c] + NADH [c] + O2 [c] ⇒ H2O [c] + NAD+ [c] + calcitetrol [c]	Cyp12a4; Cyp12c1; Cyp12b2; Cyp12a5; Cyp12d1-d; Cyp12d1-p	produce	Vitamin D metabolism	Cytosol
MAR02492	(3S)-3-hydroxylinoleoyl-CoA [c] + NAD+ [c] ⇔ 3-oxolinoleoyl-CoA [c] + H+ [c] + NADH [c]		consume/produce	Fatty acid oxidation	Cytosol
MAR02505	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA [c] + H+ [c] + NADH [c] + O2 [c] ⇒ (6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA [c] + 2 H2O [c] + NAD+ [c]		produce	Omega-3 fatty acid metabolism	Cytosol
MAR02779	D-glucitol [c] + NAD+ [c] ⇔ H+ [c] + NADH [c] + glucose [c]		consume/produce	Fructose and mannose metabolism	Cytosol
MAR02820	(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA [c] + NAD+ [c] ⇔ 3-oxo-cis,cis-7,10-hexadecadienoyl-CoA [c] + H+ [c] + NADH [c]		consume/produce	Fatty acid oxidation	Cytosol
MAR02826	3(S)-hydroxy-(5Z,8Z)-tetradecadienoyl-CoA [c] + NAD+ [c] ⇔ 3-oxo-cis,cis-5,8-tetradecadienoyl-CoA [c] + H+ [c] + NADH [c]		consume/produce	Fatty acid oxidation	Cytosol
MAR02828	(3S)-3-hydroxydodec-cis-6-enoyl-CoA [c] + NAD+ [c] ⇔ 3-oxolaur-6-cis-enoyl-CoA [c] + H+ [c] + NADH [c]		consume/produce	Fatty acid oxidation	Cytosol
MAR02860	7alpha-hydroxycholesterol [c] + NAD+ [c] ⇔ 7alpha-hydroxycholest-4-en-3-one [c] + H+ [c] + NADH [c]		consume/produce	Bile acid biosynthesis	Cytosol
MAR02883	5beta-cholestane-3alpha,7alpha,27-triol [c] + NAD+ [c] ⇔ 3alpha,7alpha-dihydroxy-5beta-cholestan-26-al [c] + H+ [c] + NADH [c]		consume/produce	Bile acid biosynthesis	Cytosol
MAR03036	H2O [c] + 2 NAD+ [c] + Vitamin A2 [c] ⇔ All-Trans-3,4-Didehydroretinoate [c] + 3 H+ [c] + 2 NADH [c]		consume/produce	Vitamin A metabolism	Cytosol
MAR03039	8-Dehydrocholesterol [c] + H+ [c] + NADH [c] + O2 [c] ⇒ 27Alpha-Hydroxy-8-Dehydrocholesterol [c] + H2O [c] + NAD+ [c]		produce	Miscellaneous	Cytosol
MAR03238	H+ [c] + NADH [c] + O2 [c] + dihydroceramide pool [c] ⇒ 2 H2O [c] + NAD+ [c] + ceramide pool [c]		produce	Sphingolipid metabolism	Cytosol
MAR03266	(S)-3-hydroxypalmitoleoyl-CoA [c] + NAD+ [c] ⇔ 3-oxopalmitoleoyl-CoA [c] + H+ [c] + NADH [c]		consume/produce	Fatty acid oxidation	Cytosol
MAR03267	NAD+ [c] + cis-(3S)-hydroxytetradec-7-enoyl-CoA [c] ⇔ 3-oxomyrist-7-enoyl-CoA [c] + H+ [c] + NADH [c]		consume/produce	Fatty acid oxidation	Cytosol
MAR03268	3(S)-3-Hydroxydodecen-(5Z)-Oyl Coenzyme A [c] + NAD+ [c] ⇔ 3-Oxolaur-Cis-5-Enoyl Coenzyme A [c] + H+ [c] + NADH [c]		consume/produce	Fatty acid oxidation	Cytosol
MAR03599	H+ [c] + L-dopachrome [c] + NADH [c] ⇔ 2-carboxy-2,3-dihydro-5,6-dihydroxyindole [c] + NAD+ [c]		consume/produce	Tyrosine metabolism	Cytosol
MAR03758	24(R),25(R)-Varanoyl Coenzyme A [c] + NAD+ [c] ⇔ 24-Oxo-25(R)-Trihydroxycoprostanoyl Coenzyme A [c] + H+ [c] + NADH [c]		consume/produce	Fatty acid oxidation	Cytosol
MAR03808	3(S),12(R)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA [c] + NAD+ [c] ⇔ 3,5-dioxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA [c] + H+ [c] + NADH [c]	scu	consume/produce	Eicosanoid metabolism	Cytosol
MAR03812	3(S),12(S)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA [c] + NAD+ [c] ⇔ 3,5-dioxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA [c] + H+ [c] + NADH [c]	scu	consume/produce	Eicosanoid metabolism	Cytosol
MAR03815	3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanate [c] + 2 H+ [c] + NADH [c] ⇔ 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-27-al [c] + H2O [c] + NAD+ [c]	Aldh-III	consume/produce	Bile acid biosynthesis	Cytosol
MAR03835	1-pyrroline-5-carboxylate [c] + 2 H+ [c] + NADH [c] ⇒ NAD+ [c] + proline [c]	P5cr-2	produce	Arginine and proline metabolism	Cytosol
MAR03839	3-phospho-D-glycerate [c] + NAD+ [c] ⇔ 3-phosphonooxypyruvate [c] + H+ [c] + NADH [c]	CG6287	consume/produce	Glycine, serine and threonine metabolism	Cytosol
MAR03854	H+ [c] + NADH [c] + methylglyoxal [c] ⇒ NAD+ [c] + lactaldehyde [c]	Akr1B	produce	Pyruvate metabolism	Cytosol
MAR03856	H+ [c] + NADH [c] + methylglyoxal [c] ⇒ D-lactaldehyde [c] + NAD+ [c]	CG1236	produce	Glycine, serine and threonine metabolism	Cytosol
MAR03876	3(S),5(S),12(R)-trihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA [c] + NAD+ [c] ⇔ 3-oxo-5(S),12(R)-dihydroxy-eicosa-8-trans-6,14-cis-trienoyl-CoA [c] + H+ [c] + NADH [c]	scu	consume/produce	Eicosanoid metabolism	Cytosol
MAR03905	NAD+ [c] + ethanol [c] ⇒ H+ [c] + NADH [c] + acetaldehyde [c]	Fdh; T3dh	consume	Glycolysis / Gluconeogenesis	Cytosol
MAR03911	H+ [c] + NADH [c] + taurine [c] ⇒ H2O [c] + NAD+ [c] + hypotaurine [c]		produce	Bile acid biosynthesis	Cytosol
MAR03925	H+ [c] + NADH [c] + dihydrobiopterin [c] ⇔ NAD+ [c] + tetrahydrobiopterin [c]	Dhpr	consume/produce	Folate metabolism	Cytosol
MAR03933	H+ [c] + NADH [c] + formylglutathione [c] ⇔ NAD+ [c] + hydroxymethylglutathione [c]	Fdh	consume/produce	Glutathione metabolism	Cytosol
MAR03983	20-CoA-20-oxo-18r-hydroxy-LTB4 [c] + NAD+ [c] ⇔ 18,20-dioxo-20-CoA-LTB4 [c] + H+ [c] + NADH [c]	scu	consume/produce	Eicosanoid metabolism	Cytosol
MAR03992	NADH [c] + 2 ferricytochrome B5 [c] ⇔ H+ [c] + NAD+ [c] + 2 ferrocytochrome B5 [c]	CG7914; CG11257; CG5946	consume/produce	Nicotinate and nicotinamide metabolism	Cytosol
MAR03996	H+ [c] + NADH [c] + cystine [c] ⇔ NAD+ [c] + 2 cysteine [c]		consume/produce	Cysteine and methionine metabolism	Cytosol
MAR04040	H2O [c] + IMP [c] + NAD+ [c] ⇒ H+ [c] + NADH [c] + xanthosine-5-phosphate [c]	ras	consume	Purine metabolism	Cytosol
MAR04122	H2O [c] + 2 NAD+ [c] + UDP-glucose [c] ⇒ 3 H+ [c] + 2 NADH [c] + UDP-glucuronate [c]	sgl	consume	Starch and sucrose metabolism	Cytosol
MAR04139	H+ [c] + NADH [c] + OAA [c] ⇔ NAD+ [c] + malate [c]	Mdh1	consume/produce	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	Cytosol
MAR04202	NAD+ [c] + methanol [c] ⇒ H+ [c] + NADH [c] + formaldehyde [c]	Fdh; T3dh	consume	Miscellaneous	Cytosol
MAR04233	2-aminomuconate semialdehyde [c] + H2O [c] + NAD+ [c] ⇒ 2-aminomuconate [c] + 2 H+ [c] + NADH [c]		consume	Phenylalanine, tyrosine and tryptophan biosynthesis	Cytosol
MAR04260	ATP [c] + H2O [c] + deamido-NAD [c] + glutamine [c] ⇒ AMP [c] + H+ [c] + NAD+ [c] + PPi [c] + glutamate [c]	Nadsyn	produce	Nicotinate and nicotinamide metabolism	Cytosol
MAR04261	ATP [c] + NH3 [c] + deamido-NAD [c] ⇒ AMP [c] + NAD+ [c] + PPi [c]	Nadsyn	produce	Nicotinate and nicotinamide metabolism	Cytosol
MAR04269	ATP [c] + NAD+ [c] ⇒ ADP [c] + H+ [c] + NADP+ [c]	Nadk2; Nadk1b; Nadk1a	consume	Nicotinate and nicotinamide metabolism	Cytosol
MAR04270	H2O [c] + NADP+ [c] ⇒ NAD+ [c] + Pi [c]	CG1637; Acph-1; CG15385	produce	Nicotinate and nicotinamide metabolism	Cytosol
MAR04315	D-glucitol [c] + NAD+ [c] ⇔ H+ [c] + NADH [c] + fructose [c]	Sodh2; Sodh1	consume/produce	Fructose and mannose metabolism	Cytosol
MAR04332	H+ [c] + NADH [c] + dihydrofolate [c] ⇔ NAD+ [c] + THF [c]	Dhfr	consume/produce	Folate metabolism	Cytosol
MAR04344	5,6-Dihydrouracil [c] + NAD+ [c] ⇔ H+ [c] + NADH [c] + uracil [c]		consume/produce	Nucleotide metabolism	Cytosol
MAR04373	1,3-bisphospho-D-glycerate [c] + H+ [c] + NADH [c] ⇔ GAP [c] + NAD+ [c] + Pi [c]	Gapdh2; Gapdh1	consume/produce	Glycolysis / Gluconeogenesis	Cytosol
MAR04388	H+ [c] + NADH [c] + pyruvate [c] ⇔ L-lactate [c] + NAD+ [c]	Ldh	consume/produce	Glycolysis / Gluconeogenesis	Cytosol
MAR04400	GDP-4-dehydro-6-deoxy-D-mannose [c] + H+ [c] + NADH [c] ⇒ GDP-L-fucose [c] + NAD+ [c]	Gmer	produce	Fructose and mannose metabolism	Cytosol
MAR04431	H2O [c] + NAD+ [c] + methylimidazole-acetaldehyde [c] ⇒ 2 H+ [c] + NADH [c] + methylimidazoleacetic acid [c]	Aldh-III	consume	Histidine metabolism	Cytosol
MAR04448	5,10-methylene-THF [c] + 2 H+ [c] + NADH [c] ⇒ 5-methyl-THF [c] + NAD+ [c]	CG7560	produce	Folate metabolism	Cytosol
MAR04470	H+ [c] + NADH [c] + thymine [c] ⇒ NAD+ [c] + dihydrothymine [c]	sur	produce	Pyrimidine metabolism	Cytosol
MAR04519	H2O [c] + NAD+ [c] + hypoxanthine [c] ⇒ H+ [c] + NADH [c] + xanthine [c]	ry	consume	Purine metabolism	Cytosol
MAR04531	H+ [c] + N-acetylneuraminate [c] + NADH [c] + O2 [c] ⇒ H2O [c] + NAD+ [c] + neungc [c]		produce	Amino sugar and nucleotide sugar metabolism	Cytosol
MAR04533	CMP-neuNGc [c] + H2O [c] + NAD+ [c] ⇒ CMP-N-acetylneuraminate [c] + H+ [c] + NADH [c] + O2 [c]		consume	Amino sugar and nucleotide sugar metabolism	Cytosol
MAR04559	5-hydroxyindoleacetaldehyde [c] + H2O [c] + NAD+ [c] ⇒ 5-hydroxyindoleacetate [c] + 2 H+ [c] + NADH [c]	Aldh-III; Aldh; Aldh7A1	consume	Serotonin and melatonin biosynthesis	Cytosol
MAR04591	NAD+ [c] + xylitol [c] ⇒ H+ [c] + L-xylulose [c] + NADH [c]	CG16935	consume	Pentose and glucuronate interconversions	Cytosol
MAR04593	NAD+ [c] + xylitol [c] ⇒ D-xylulose [c] + H+ [c] + NADH [c]	Sodh2; Sodh1	consume	Pentose and glucuronate interconversions	Cytosol
MAR04646	H2O [c] + NAD+ [c] + xanthine [c] ⇒ H+ [c] + NADH [c] + urate [c]	ry	consume	Purine metabolism	Cytosol
MAR04654	NADH [c] + folate [c] ⇔ NAD+ [c] + dihydrofolate [c]	Dhfr	consume/produce	Folate metabolism	Cytosol
MAR04683	H2O [c] + NAD+ [c] + phenylacetaldehyde [c] ⇒ 2 H+ [c] + NADH [c] + phenylacetate [c]	Aldh-III	consume	Tyrosine metabolism	Cytosol
MAR04696	NAD+ [c] + choline [c] ⇒ H+ [c] + NADH [c] + betaine_aldehyde [c]	Gld; CG9521; CG12398; CG9519; CG9514	consume	Glycine, serine and threonine metabolism	Cytosol
MAR04697	H2O [c] + NAD+ [c] + betaine_aldehyde [c] ⇒ 2 H+ [c] + NADH [c] + betaine [c]	Aldh7A1	consume	Glycine, serine and threonine metabolism	Cytosol
MAR04703	H2O [c] + NAD+ [c] + gentisate aldehyde [c] ⇒ 2,5-dihydroxybenzoate [c] + 2 H+ [c] + NADH [c]	ry	consume	Tyrosine metabolism	Cytosol
MAR04737	2-aminoadipate 6-semialdehyde [c] + H2O [c] + NAD+ [c] ⇒ 2 H+ [c] + L-2-aminoadipate [c] + NADH [c]	Aldh7A1	consume	Lysine metabolism	Cytosol
MAR04764	H+ [c] + NADH [c] + biliverdin [c] ⇒ NAD+ [c] + bilirubin [c]	CG9471	produce	Porphyrin metabolism	Cytosol
MAR04778	NAD+ [c] + trans-4-hydroxy-L-proline [c] ⇒ 2 H+ [c] + L-1-pyrroline-3-hydroxy-5-carboxylate [c] + NADH [c]	P5cr-2	consume	Arginine and proline metabolism	Cytosol
MAR04797	2-methyl-3-oxopropanoate [c] + H2O [c] + NAD+ [c] ⇒ 2 H+ [c] + NADH [c] + methylmalonate [c]	Aldh; Aldh7A1; Aldh-III	consume	Valine, leucine, and isoleucine metabolism	Cytosol
MAR04841	H+ [c] + NADH [c] + ribose [c] ⇔ NAD+ [c] + ribitol [c]	Aldh-III	consume/produce	Pentose phosphate pathway	Cytosol
MAR05351	2-hydroxybutyrate [c] + NAD+ [c] ⇔ 2-oxobutyrate [c] + H+ [c] + NADH [c]	Ldh	consume/produce	Butanoate metabolism	Cytosol
MAR06349	16-hydroxyhexadecanoic acid [c] + H2O [c] + 2 NAD+ [c] ⇒ 3 H+ [c] + Hexadecanediocacid [c] + 2 NADH [c]	Aldh-III; Fdh	consume	Fatty acid oxidation	Cytosol
MAR06350	H2O [c] + 2 NAD+ [c] + W-Hydroxydocosanoicacid [c] ⇒ Docosanedioicacid [c] + 2 H+ [c] + 2 NADH [c]	Aldh-III; Fdh	consume	Fatty acid oxidation	Cytosol
MAR06376	H2O [c] + 2 NAD+ [c] + W-Hydroxydecanoicacid [c] ⇒ 3 H+ [c] + 2 NADH [c] + Sebacicacid [c]	Aldh-III; Fdh	consume	Fatty acid oxidation	Cytosol
MAR06397	H+ [c] + NADH [c] + lipoic acid [c] ⇔ NAD+ [c] + dihydrolipoate [c]	CG7430	consume/produce	Lipoic acid metabolism	Cytosol
MAR06404	H+ [c] + NADH [c] + [protein]-N6-(lipoyl)lysine [c] ⇔ NAD+ [c] + [protein]-N6-(dihydrolipoyl)lysine [c]	CG7430	consume/produce	Lipoic acid metabolism	Cytosol
MAR06510	FAD [c] + H+ [c] + NADH [c] ⇒ FADH2 [c] + NAD+ [c]		produce	Riboflavin metabolism	Cytosol
MAR06519	3-mercaptolactate [c] + NAD+ [c] ⇔ H+ [c] + NADH [c] + mercaptopyruvate [c]	Ldh	consume/produce	Cysteine and methionine metabolism	Cytosol
